front,back,frontHint,backHint,label
chivalry,bravoure,commence par b,starts with c,noun
chopstick,baguette,commence par b,starts with c,noun
chore,corvée,commence par c,starts with c,noun
chump,idiot,commence par i,starts with c,noun slang
chunk,tronçon,commence par t,starts with c,noun
cinder block,parpaing,commence par p,starts with c,noun
clay,argile,commence par a,starts with c,noun
clay court,terre battue,commence par t,starts with c,noun phrase
clever,intelligent,commence par i,starts with c,adjective
cliff,falaise,commence par f,starts with c,noun
clockwise,dans le sens des aiguilles d'une montre,commence par d,starts with c,adjective
closet,placard,commence par p,starts with c,noun
clout,poids,commence par p,starts with c,noun
clumsy,maladroit,commence par m,starts with c,adjective
coal,charbon,commence par c,starts with c,noun
coffin,cercueil,commence par c,starts with c,noun
cog,rouage,commence par r,starts with c,noun
cogwheel,roue dentée,commence par r,starts with c,noun
colander,passoire,commence par p,starts with c,noun
collecting stamps,collectionner des timbres,commence par c,starts with c,phrase
comfy,confortable,commence par c,starts with c,adjective
coming due,à la veille de l'échéance,commence par à,starts with c,phrase
commencement speech,discours de remise des diplômes,commence par d,starts with c,noun phrase
commitment,engagement,commence par e,starts with c,adjective
compliance,conformité,commence par c,starts with c,noun
complicity,complicité,commence par c,starts with c,noun
cone,cône,commence par c,starts with c,noun
confused,confus,commence par c,starts with c,adjective
convenience,commodité,commence par c,starts with c,noun
cooker,cuisinière,commence par c,starts with c,noun
corpse,cadavre,commence par c,starts with c,noun
cottage,chalet,commence par c,starts with c,noun
couch,canapé,commence par c,starts with c,noun
cowardly,lâche,commence par l,starts with c,adjective
cramming them,en les bourant,commence par e,starts with c,phrase
crane,grue,commence par g,starts with c,noun
crate,caisse,commence par c,starts with c,noun
craved,désiré,commence par d,starts with c,adjective
credentials,informations d'identification,commence par i,starts with c,noun
crisis,crise,commence par c,starts with c,noun
crowd,foule,commence par f,starts with c,noun
cubs,oursons,commence par o,starts with c,noun
cuddle,câlin,commence par c,starts with c,noun
cue,signal,commence par s,starts with c,noun
culprit,coupable,commence par c,starts with c,noun
cumbersome,lourd,commence par l,starts with c,adjective
cupboard,armoire,commence par a,starts with c,noun
curly braces,accolades,commence par a,starts with c,noun
curse,malédiction,commence par m,starts with c,noun
curtains,rideaux,commence par r,starts with c,noun
cutting-edge,avant-gardiste,commence par a,starts with c,adjective
damp,humide,commence par h,starts with d,adjective
darts,fléchettes,commence par f,starts with d,noun
deaf,sourd,commence par s,starts with d,adjective
deck,pont,commence par p,starts with d,noun
deer,cerf,commence par c,starts with d,noun
defect,défaut,commence par d,starts with d,noun
delivery,livraison,multiple meanings,starts with d,noun
deprecated,obsolète,commence par o,starts with d,adjective
derelict,abandonné,commence par a,starts with d,adjective
desperate,désespéré,commence par d,starts with d,adjective
despite,malgré,commence par m,starts with d,preposition
detainee,détenu,commence par d,starts with d,noun
detective,détective,commence par d,starts with d,noun
devoid,dépourvu,commence par d,starts with d,adjective
diary,agenda,commence par a,starts with d,adjective
difficult,difficile,commence par d,starts with d,adjective
dimple,fossette,commence par f,starts with d,noun
direct,direct,commence par d,starts with d,noun
disgruntled,mécontent,commence par m,starts with d,adjective
disguise,déguisement,commence par d,starts with d,noun
disgusting,dégeulasse,commence par d,starts with d,adjective
disposal,disposition,commence par d,starts with d,noun
disruptive,perturbateur,commence par p,starts with d,adjective
doll,poupée,commence par p,starts with d,noun
dope,génial,commence par g,starts with d,noun
downstream,en aval,commence par e,starts with d,noun
dozens,dizaines,commence par d,starts with d,noun
drain,vidange,commence par v,starts with d,noun
dreadful,terrible,commence par t,starts with d,adjective
dreary,morne / triste,multiple meanings,starts with d,adjective
drill,perceuse,commence par p,starts with d,noun
duct tape,ruban adhésif,commence par r,starts with d,noun
duffel bag,cabas,commence par c,starts with d,noun
dull,terne,commence par t,starts with d,adjective
dwelling,logement,commence par l,starts with d,noun
earrings,boucles d'oreilles,commence par b,starts with e,noun
ease,aisance,commence par a,starts with e,noun
eavesdropping,écoute clandestine,commence par é,starts with e,noun
edible,comestible,commence par c,starts with e,adjective
eggplant,aubergine,commence par a,starts with e,adjective
elderly,âgé,commence par â,starts with e,adjective
emphasis,accent,commence par a,starts with e,noun
enclosure,enceinte / boitier,multiple meanings,starts with e,noun
endorsement,recommendation / approbation,multiple meanings,starts with e,noun
to enthrall,captiver,commence par c,starts with e,verb
entrenched incumbents,acteurs établis / opérateurs en place solidement ancrés,commence par a,starts with e,noun phrase
error-prone,sujet aux erreurs,commence par s,starts with e,adjective
eventually,finalement,commence par f,starts with e,adverb
everlasting,éternel,commence par f,starts with e,adjective
exhausted,épuisé,commence par é,starts with e,adjective
fabricated,inventé de toutes pièces,commence par i,starts with f,adjective
to face up,tourné vers le haut,commence par t,starts with f,phrasal verb
facilities,installations / équipement,multiple meanings,starts with f,noun
farewell,adieu,commence par a,starts with f,noun
feedforward,rétroaction,rétro******,feed*******,noun
felony,crime,commence par c,starts with f,noun
fine dining,restaurant chic,commence par r,starts with f,noun
finicky,pointilleux,commence par p,starts with f,adjective
firefighter,pompier,commence par p,starts with f,noun
flabbergasted,sidéré,commence par s,starts with f,adjective
flawless,impeccable,commence par i,starts with f,adjective
to flesh out,étoffer,commence par é,starts with f,phrasal verb
flip side,côté opposé,commence par c,starts with f,noun
flood,inondation,commence par i,starts with f,noun
floppy disk,disquette,commence par d,starts with f,noun
floppy ears,oreilles tombantes,commence par o,starts with f,phrase
fluffy,duveteux,commence par d,starts with f,adjective
flustered,agité,commence par a,starts with f,adjective
foe,ennemi,commence par e,starts with f,noun
foolproof,infaillible,commence par i,starts with f,adjective
forbidden,interdit,commence par i,starts with f,adjective
forecast,prévision,commence par p,starts with f,noun
forensic science,science médico-légale,commence par s,starts with f,noun
forensics,criminalistique,commence par c,starts with f,noun
forgery,contrefaçon,commence par c,starts with f,noun
frankly,franchement,commence par f,starts with f,adverb
freaky,flippant,commence par f,starts with f,adjective
frightened,effrayé,commence par e,starts with f,adjective
fungus,champignon,commence par c,starts with f,noun
funnel,entonnoir,commence par e,starts with f,noun
fur,fourrure,commence par f,starts with f,noun
futile,futile,commence par f,starts with f,adjective
gaffer,patron / chef / boss,multiple meanings,starts with g,noun
gains,gains,commence par g,starts with g,noun
gathering,rassemblement,commence par r,starts with g,noun
genuine,authentique,commence par a,starts with g,adjective
genuinely,véritablement / sincèrement,commence par v,starts with g,adverb
glitter,paillettes,commence par p,starts with g,noun
glow worm,ver luisant,commence par v,starts with g,noun
grape,raisin,commence par r,starts with g,noun
grasshopper,sauterelle,commence par s,starts with g,noun
grifter,escroc,commence par e,starts with g,noun
grocery,épicerie,commence par é,starts with g,noun
ground truth,vérité fondamentale,commence par v,starts with g,noun phrase
groundbreaking,révolutionnaire,commence par r,starts with g,adjective
guardrail,rambarde,commence par r,starts with g,noun
guilty,coupable,commence par c,starts with g,adjective
guts,cran,commence par c,starts with g,noun
hallmarks,caractéristiques,commence par c,starts with h,noun
hallway,couloir,commence par c,starts with h,noun
handle,poignée,commence par p,starts with h,noun
handout,polycopié,commence par p,starts with h,noun
handy,pratique,commence par p,starts with h,noun
hangover,gueule de bois,commence par g,starts with h,noun
hardened,endurci,commence par e,starts with h,adjective
hardly ever,quasiment jamais,commence par q,starts with h,adverb
harmless,inoffensif,commence par i,starts with h,adjective
hauling,transport,commence par t,starts with h,noun
headlines,gros titres,commence par g,starts with h,noun
headquarters,quartier général,commence par q,starts with h,noun
heardresser,coiffeur,commence par c,starts with h,noun
heist,braquage,commence par b,starts with h,noun
helm chart,tableau de bord,commence par t,starts with h,noun
hemorrhage,hémorragie,commence par h,starts with h,noun
hemp,chanvre,commence par c,starts with h,noun
hence,par conséquent,commence par p,starts with h,adverb conjunction
herding,élevage,commence par é,starts with h,noun
high-toil system,système à forte charge opérationnelle,commence par s,starts with h,phrase
hike,randonnée,commence par r,starts with h,noun
hindsight,rétrospective,commence par r,starts with h,noun
hitchhiker,auto-stoppeur,commence par a,starts with h,noun
hive,ruche,commence par r,starts with h,noun
horn,corne,commence par c,starts with h,noun
hose,tuyau,commence par t,starts with h,noun
hotbed,foyer,commence par f,starts with h,noun
housemaid,femme de ménage,commence par f,starts with h,noun
hurdle,obstacle,commence par o,starts with h,noun
hush money,argent pour se taire,commence par a,starts with h,noun
ill-humored,de mauvaise humeur,commence par d,starts with i,adjective
ill-intentioned,de mauvaise intention,commence par d,starts with i,adjective
in hindsight,avec le recul,commence par a,starts with i,prepositional phrase
incentive,incitation,commence par i,starts with i,adjective
incoming,entrant,commence par e,starts with i,noun
incumbent,titulaire,commence par t,starts with i,adjective
independently,indépendamment,commence par i,starts with i,adverb
infringement,infraction,commence par i,starts with i,noun
injured,blessé,commence par b,starts with i,adjective
injury,blessure,commence par b,starts with i,noun
ink,encre,commence par e,starts with i,noun
inquiry,enquête,commence par e,starts with i,noun
insight,aperçu,commence par a,starts with i,noun
insights,connaisances,commence par c,starts with i,noun
intended,destiné,commence par d,starts with i,adjective
intricacies,subtilités,commence par s,starts with i,noun
jerk,con,commence par c,starts with j,noun
jerky,saccadé,commence par s,starts with j,adjective
jewel,bijou / joyau,multiple meanings,starts with j,noun
junk,ordure,commence par o,starts with j,noun
junkyard,casse,commence par c,starts with j,noun
keystroke,frappe de touche,commence par f,starts with k,noun
kidney,rein,commence par r,starts with k,noun
klin,four,commence par f,starts with k,noun
knees,genoux,commence par g,starts with k,noun
knob,bouton / poignée,multiple meanings,starts with k,noun
laggards,retardataires,commence par r,starts with l,noun
lagging,en retard,commence par e,starts with l,adjective
landlord,propriétaire,commence par p,starts with l,noun
landmark,point de repère,commence par p,starts with l,noun
lane,voie,commence par v,starts with l,noun
launchly point,point de lancement,commence par p,starts with l,noun
lawn,gazon,commence par g,starts with l,noun
layover,escale / halte,multiple meanings,starts with l,noun
leak,fuite,commence par f,starts with l,noun
leather,cuir,commence par c,starts with l,noun
ledger,registre,commence par r,starts with l,noun
leverage,effet de levier,commence par e,starts with l,noun
lid,couvercle,commence par c,starts with l,noun
light,léger,commence par l,starts with l,noun
likewise,de même,commence par d,starts with l,adverb
limb,membre,commence par m,starts with l,noun
lingering,persistant,commence par p,starts with l,noun
list price,prix ​​catalogue,commence par p,starts with l,noun
liver,foie,commence par f,starts with l,noun
lollipop,sucette,commence par s,starts with l,noun
loony,cinglé,commence par c,starts with l,noun
loophole,échappatoire,commence par é,starts with l,noun
low-key,discret,commence par d,starts with l,adjective
luggage,bagage,commence par b,starts with l,noun
lumpy,grumeleux,commence par g,starts with l,adjective
lunchable,déjeuner,commence par d,starts with l,adjective
lung,poumon,commence par p,starts with l,noun
mainstay,pilier,commence par p,starts with m,noun
make room,faire de la place,commence par f,starts with m,noun
manor,manoir,commence par m,starts with m,noun
marble,marbre,commence par m,starts with m,noun
mattress,matelas,commence par m,starts with m,noun
mellow,moelleux,commence par m,starts with m,noun
mermaid,sirène,commence par s,starts with m,noun
midday,midi,commence par m,starts with m,adjective
mildly,doucement,commence par d,starts with m,adverb
misled,induit en erreur,commence par i,starts with m,adjective
moans,gémissements,commence par g,starts with m,noun
mob,mafia,commence par m,starts with m,noun slang
mock interview,simulation d'entretien,commence par s,starts with m,noun phrase
monk,moine,commence par m,starts with m,noun
mop,serpillière,commence par s,starts with m,noun
mortgage,hypothèque,commence par h,starts with m,noun
moth,papillon de nuit,commence par p,starts with m,noun
to move in,emménager,commence par e,starts with m,phrasal verb
to move out,déménager,commence par d,starts with m,phrasal verb
mudslinging,dénigrement,commence par d,starts with m,noun
mugshot,photo d'identité,commence par p,starts with m,noun
mulch,paillis,commence par p,starts with m,noun
mundane,banal,commence par b,starts with m,adjective
nail,clou,commence par c,starts with n,noun
nap,sieste,commence par s,starts with n,noun
to narrow down,affiner,commence par a,starts with n,verb
narrow escape,échappé de justesse,commence par é,starts with n,noun
nearby,à proximité,commence par à,starts with n,adjective
neat,soigné,commence par s,starts with n,adjective
necklace,collier,commence par c,starts with n,noun
nevertheless,néanmoins,commence par n,starts with n,adverb
nimble,agile,commence par a,starts with n,adjective
noon,midi,commence par m,starts with n,noun
nourishing,nourissant,commence par n,starts with n,adjective
oath,serment,commence par s,starts with o,noun
obnoxious,odieux,commence par o,starts with o,adjective
offender,délinquant,commence par d,starts with o,noun
offloading,débarquement,commence par d,starts with o,noun
ointment,pommade,commence par p,starts with o,noun
old fashioned,démodé,commence par d,starts with o,adjective
old-timey,à l'ancienne,commence par à,starts with o,adjective
on foot,à pied,commence par à,starts with o,prepositional phrase
on set,sur le plateau,commence par s,starts with o,prepositional phrase
on site,sur site,commence par s,starts with o,prepositional phrase
on time,à l'heure,commence par à,starts with o,prepositional phrase
oomph,du punch,commence par d,starts with o,noun
ostrich,autruche,commence par a,starts with o,noun
outage,panne,commence par p,starts with o,noun
outbreak,épidémie,commence par é,starts with o,noun
outburst,explosion,commence par e,starts with o,noun
outlets,points de vente,commence par p,starts with o,noun
subcontracting,sous-traitance,commence par s,starts with s,noun
outsourcing,externalisation,commence par e,starts with o,noun
outspoken,franc,commence par f,starts with o,adjective
outstanding,exceptionnel,commence par e,starts with o,adjective
overblown,exagéré,commence par e,starts with o,adjective
overlaid,superposé,commence par s,starts with o,adjective
overnight,du jour au lendemain,commence par d,starts with o,adverb
oversight,surveillance,commence par s,starts with o,noun
overwhelming,accablant / écrasant,multiple meanings,starts with o,adjective
ownership,possession / propriété,multiple meanings,starts with o,noun
pal,copain,commence par c,starts with p,noun
paperclip,trombone,commence par t,starts with p,noun
parrot,perroquet,commence par p,starts with p,noun
passed out,s'est évanoui,commence par s,starts with p,phrasal verb
patch up,rafistoler,commence par r,starts with p,phrasal verb
patent,brevet,commence par b,starts with p,noun
pay,paie,commence par p,starts with p,noun
paycheck,chèque de paie,commence par c,starts with p,noun
pear,poire,commence par p,starts with p,noun
pedestrian,piéton,commence par p,starts with p,noun
penny,centime,commence par c,starts with p,noun
pepper,poivre,commence par p,starts with p,noun
pet,animal de compagnie,commence par a,starts with p,noun
phishing,hameçonnage,commence par h,starts with p,noun
phony,faux,commence par f,starts with p,adjective
pillow,oreiller,commence par o,starts with p,noun
pineapple,ananas,commence par a,starts with p,noun
pissed off,énervé,commence par é,starts with p,adjective
pit,fosse,commence par f,starts with p,noun
pit,fosse,commence par f,starts with p,noun
plagiarism,plagiat,commence par p,starts with p,noun
plain text,texte brut,commence par t,starts with p,noun
plummeting,en chute libre,commence par e,starts with p,noun
pond,étang / bassin / mare,multiple meanings,starts with p,noun
porch,véranda,commence par v,starts with p,noun
prawn,crevette,commence par c,starts with p,noun
prawn,crevette,commence par c,starts with p,noun
premises,locaux,commence par l,starts with p,noun
preparation,préparation,commence par p,starts with p,noun
pretty interesting,plutôt intéressant,commence par p,starts with p,adjective phrase
pretty much,à peu près,commence par à,starts with p,noun
program,programme,commence par p,starts with p,noun
proof,preuve,commence par p,starts with p,noun
propellers,hélices,commence par h,starts with p,noun
pull in,attirer,commence par a,starts with p,phrasal verb
pundit,expert,commence par e,starts with p,noun
puppets,marionnettes,commence par m,starts with p,noun
puppy,chiot,commence par c,starts with p,noun
purse,sac à main,commence par s,starts with p,noun
put off,repousser,commence par r,starts with p,phrasal verb
queer,bizarre,commence par b,starts with q,noun
query,requête,commence par r,starts with q,noun
rack,étagère,commence par é,starts with r,noun
rack,étagère,commence par é,starts with r,noun
raincoat,imperméable,commence par i,starts with r,noun
rape,viol,commence par v,starts with r,noun
rarely,rarement,commence par r,starts with r,adverb
real estate,immobilier,commence par i,starts with r,noun
realm,royaume,commence par r,starts with r,noun
recall,rappel,commence par r,starts with r,noun
receipt,reçu,commence par r,starts with r,noun
regularly,régulièrement,commence par r,starts with r,adverb
rejuvenating,rajeunissant,commence par r,starts with r,noun
relapse,rechute,commence par r,starts with r,noun
relevant,pertinent,commence par p,starts with r,adjective
relieved,soulagé,commence par s,starts with r,adjective
rendered,rendu,commence par r,starts with r,noun
repellent,répulsif,commence par r,starts with r,adjective
retail,vente au détail,commence par v,starts with r,noun
revered,vénéré,commence par v,starts with r,adjective
riddle,devinette,commence par d,starts with r,noun
rigged,truqué,commence par t,starts with r,adjective
rigging,truquage,commence par t,starts with r,noun
right away,tout de suite,commence par t,starts with r,noun
riot,émeute,commence par é,starts with r,noun
ripple,ondulation,commence par o,starts with r,noun
roadblock,barrage routier,commence par b,starts with r,noun
robust,robuste,commence par r,starts with r,noun
roger that,bien reçu,commence par b,starts with r,noun
rogue,voyou,commence par v,starts with r,noun
rolls,rouleaux,commence par r,starts with r,noun
room,salle,commence par s,starts with r,noun
rope,corde,commence par c,starts with r,noun
rot,peste / pourriture,multiple meanings,starts with r,noun
round trip,aller-retour,commence par a,starts with r,noun
rubber,caoutchouc,commence par c,starts with r,noun
rubber ducky,canard en caoutchouc,commence par c,starts with r,noun
rug,tapis,commence par t,starts with r,noun
rung,échelon,commence par é,starts with r,noun
running,qui coule,commence par q,starts with r,noun
running,qui coule,commence par q,starts with r,noun
rusty,rouillé,commence par r,starts with r,adjective
ruthless,impitoyable,commence par i,starts with r,adjective
safe,coffre-fort,commence par c,starts with s,adjective
sailor,marin,commence par m,starts with s,noun
salary,salaire,commence par s,starts with s,adjective
sanity,santé mentale,commence par s,starts with s,noun
scale,balance,commence par b,starts with s,noun
scatter,dispersion,commence par d,starts with s,noun
scrap,feraille,commence par f,starts with s,noun
scratched,rayé,commence par r,starts with s,adjective
screening,dépistage,commence par d,starts with s,noun
screwdriver,tournevis,commence par t,starts with s,noun
screwed,foutu,commence par f,starts with s,noun
seagull,mouette,commence par m,starts with s,noun
seamless,sans coupure / continue / permanent,multiple meanings,starts with s,adjective
seashells,coquillage,commence par c,starts with s,noun
seashore,bord de mer,commence par b,starts with s,noun
seminal book,livre fondateur,commence par l,starts with s,noun
semolina,semoule,commence par s,starts with s,noun
shack,cabane,commence par c,starts with s,noun
shady,louche,commence par l,starts with s,adjective
sharp blow,coup sec,commence par c,starts with s,noun
shed,hangar,commence par h,starts with s,noun
shelter,abri,commence par a,starts with s,noun
shortage,pénurie,commence par p,starts with s,noun
shorthand,sténographie / abrégé,multiple meanings,starts with s,noun
sifting through,passer au crible,commence par p,starts with s,phrasal verb
sight,vue,commence par v,starts with s,noun
silk,soie,commence par s,starts with s,noun
simply,simplement,commence par s,starts with s,adverb
single-handedly,à lui seul,commence par à,starts with s,adverb
sip,gorgée,commence par g,starts with s,noun
skewed,biaisé,commence par b,s*****,adjective
skyscraper,gratte-ciel,commence par g,starts with s,noun
slightly,légèrement,commence par l,starts with s,adverb
slightly,légèrement,commence par l,starts with s,adverb
slingshot,lance-pierres,commence par l,starts with s,noun
slope,pente,commence par p,starts with s,noun
slope,pente,commence par p,starts with s,noun
smooth,lisse,commence par l,starts with s,noun
snap,claquement,commence par c,starts with s,noun
snapped up,acheté / vendu rapidement,multiple meanings,starts with s,noun
snapshot,instantané,commence par i,starts with s,noun
snobbishness,snobisme,commence par s,starts with s,noun
snooker,billard,commence par b,starts with s,noun
snoring,ronflement,commence par r,starts with s,noun
soaked,trempé,commence par t,starts with s,adjective
soggy,détrempé,commence par d,starts with s,adjective
sore throat,mal de gorge,commence par m,starts with s,noun
source,source,commence par s,starts with s,noun
spare,de rechange,commence par d,starts with s,noun
sparse,clairsemé,commence par c,starts with s,adjective
spearhead,fer de lance,commence par f,starts with s,noun
sponfed,nourri à la cuillère,commence par n,starts with s,noun
spoofed,usurpé,commence par u,starts with s,noun
spoofing,usurpation d'identité,commence par u,starts with s,noun
squeaky clean,impeccablement propre,commence par i,starts with s,adjective phrase
squirrel,écureuil,commence par é,starts with s,noun
staging,mise en scène,commence par m,starts with s,noun
stainless steel,acier inoxydable,commence par a,starts with s,adjective phrase
stakeholders,parties prenantes,commence par p,starts with s,noun
stalk,tige,commence par t,s****,noun
stapler,agrafeuse,commence par a,starts with s,noun
stash,planque,commence par p,starts with s,noun
steadily,régulièrement,commence par r,starts with s,adverb
steam,vapeur,commence par v,starts with s,noun
steepness,pente,commence par p,starts with s,noun
steering wheel,volant,commence par v,starts with s,noun
stench,puanteur,****teur,starts with s,noun
stew,ragoût,commence par r,starts with s,noun
stiff,raide,commence par r,starts with s,adjective
stipends,allocations,commence par a,starts with s,noun
stitches,points de suture,commence par p,starts with s,noun
stopped,s'est arrêté,commence par s,starts with s,noun
stove,poêle,commence par p,starts with s,noun
stream away,s'écouler,commence par s,starts with s,phrasal verb
stretching,étirement,commence par é,starts with s,noun
stubborn,têtu,commence par t,starts with s,adjective
subordinate,subordonné,commence par s,starts with s,noun
suburb,banlieue,commence par b,starts with s,noun
summit,sommet,commence par s,starts with s,noun
supplier,fournisseur,commence par f,starts with s,noun
supplier,fournisseur,commence par f,starts with s,noun
supply chain,chaîne d'approvisionnement,commence par c,starts with s,noun
surveillance,surveillance,commence par s,starts with s,noun
swallow,avaler,commence par a,starts with s,noun
sweetheart,chérie,commence par c,starts with s,noun
swindler,escroc,commence par e,starts with s,noun
tab,onglet,commence par o,starts with t,noun
take off,décoller,commence par d,starts with t,phrasal verb
tech savvy,féru de technologie,commence par f,tech *****,adjective
telephone booth,cabine télephonique,commence par c,starts with t,noun
tender,appel d'offres,commence par a,starts with t,adjective
tense,crispé,commence par c,starts with t,adjective
terse,laconique,commence par l,starts with t,adjective
thick,épais,commence par é,starts with t,adjective
thigh,cuisse,commence par c,starts with t,noun
thirsty,assoiffé,commence par a,starts with t,noun
thoughtful,réfléchi,commence par r,starts with t,adjective
threatening,menaçant,commence par m,starts with t,noun
threshold,seuil,commence par s,starts with t,noun
throat,gorge,commence par g,starts with t,noun
throughput,débit,commence par d,starts with t,noun
thruster,propulseur,commence par p,starts with t,noun
thumbnail,vignette,commence par v,starts with t,noun
thus,ainsi,commence par a,starts with t,adverb
tide,marée,commence par m,starts with t,noun
tight,serré,commence par s,starts with t,adjective
tilt,inclinaison,commence par i,starts with t,noun
timely,en temps opportun,commence par e,starts with t,adjective
tiny,minuscule,commence par m,starts with t,adjective
tire,pneu,commence par p,starts with t,noun
tired,fatigué,commence par f,starts with t,adjective
to accuse,accuser,commence par a,starts with a,verb
to allow,permettre,commence par p,starts with a,verb
to amend,modifier,commence par m,starts with t,verb
to arise,surgir,commence par s,starts with a,verb
to aspire,aspirer,commence par a,starts with a,verb
to attack,s'attaquer,commence par s,starts with a,verb
to attend,assister à,commence par a,starts with a,verb
to bail,se déchaîner,commence par s,starts with b,verb
to bake,cuire,commence par c,starts with b,verb
to beg,supplier / implorer,multiple meanings,starts with b,verb
to beg,supplier / implorer,multiple meanings,starts with b,verb
to bet,miser,commence par m,starts with b,verb
to bid,enchérir,commence par e,starts with t,verb
to bid,enchérir,commence par e,starts with b,verb
to bite,mordre,commence par m,starts with t,verb
to bloom,fleurir,commence par f,starts with b,verb
to boast,se vanter,commence par s,starts with t,verb
to break,rompre,commence par r,starts with b,verb
to break,rompre,commence par r,starts with b,verb
to break,casser / rompre,multiple meanings,starts with b,verb
to bundle,regrouper,commence par r,starts with t,verb
to cheat,tromper,commence par t,starts with c,verb
to cipher,chiffrer,commence par c,starts with t,verb
to collapse,s'effondrer,commence par s,starts with c,verb
to comply,se conformer,commence par s,starts with c,verb
to compromise,compromettre,commence par c,starts with c,verb
to crawl,ramper,commence par r,starts with t,verb
to dabble,s'essayer,commence par s,starts with t,verb
to dangle,mettre en balance,commence par m,starts with t,verb
