front,middle,back,hint,label
hindsight,recul,النظر إلى الماضي,,noun
hitchhiker,auto-stoppeur,المسافر,,noun
hive,ruche,خلية نحل,,noun
horns,cornes,قرون,,noun
hose,tuyau,أنبوب,,noun
hotbed,foyer,بؤرة,,noun
housemaid,femme de ménage,خادمة,,noun
hurdle,obstacle,عقبة,,noun
hush money,argent pour se taire,رشوة لإسكات المارة,,noun
I beg you,je t'en supplie,أرجوك,,phrase
i didn't do it on purpose,je ne l'ai pas fait exprès,لم أفعل ذلك عن قصد,,phrase
i don't mind waiting,ça ne me dérange pas d'attendre,لا أمانع الانتظار,,phrase
i was walking my dog,je promenais mon chien,كنت أتمشى مع كلبي,,phrase
ill-humored,de mauvaise humeur,سيء المزاج,,adjective
ill-intentioned,de mauvaise intention,سيء النية,,adjective
in hindsight,avec le recul,بعد فوات الأوان,,prepositional phrase
incentive,incitation,حافز,,adjective
incoming,entrant,واردة,,noun
It is incumbent upon us to help,il est de notre devoir d'aider,من واجبنا أن نساعد,,adjective
independently,indépendamment,بشكل مستقل,,adverb
infringement,infraction,التعدي,,noun
injured,blessé,مصاب,,adjective
injury,blessure,إصابة,,noun
ink,encre,حبر,,noun
inquiry,enquête,تحقيق,,noun
insight,aperçu,نظرة,,noun
insights,connaissances,معرفة,,noun
intended,destiné,منوي,,adjective
intricacies,subtilités,التعقيدات,,noun
it was great,c'était génial,كانت رائعة,,phrase
jar of jam,pot de confiture,جرة مربى,,phrase
jerk,con,غبي,,noun slang
jerky,saccadé,متشنج,,adjective
jewel,bijou / joyau,جوهرة,,noun
junk,ordure,نفاية,,noun
junkyard,casse,ساحة الخردة,,noun
kidney,rein,كلية,,noun
klin,four,فرن,,noun
knees,genoux,الركبتين,,noun
knob,bouton / poignée,مقبض الباب,,noun
laggards,retardataires,المتخلفون,,noun
lagging,en retard,متخلفة,,adjective
landlord,propriétaire,المالك,,noun
landmark,point de repère,معلم,,noun
lane,voie,درب,,noun
launchly point,point de lancement,نقطة انطلاق,,noun
lawn,gazon,العشب,,noun
layover,escale / halte,توقف,,noun
leak,fuite,تسريب,,noun
leather,cuir,جلد,,noun
ledger,registre,سجل,,noun
leverage,effet de levier,الرافعة المالية,,noun
lid,couvercle,غطاء,,noun
light,léger,خفيف,,noun
likewise,de même,على نفس المنوال / بطريقة مماثلة,,adverb
limb,membre,عضو,,noun
lingering,persistant,مداوم,,noun
list price,prix ​​catalogue,سعر القائمة,,noun
liver,foie,الكبد,,noun
lollipop,sucette,مصاصة,,noun
loony,cinglé,مجنون,,noun slang
loophole,échappatoire,ثغرة,,noun
low-key,discret,نوعاً ما / في الحقيقة,,adjective
luggage,bagage,أمتعة السفر,,noun
lumpy gravy,sauce grumeleuse,مرق متكتل,,adjective
lunchable,déjeuner,غداء,,adjective
lung,poumon,رئة,,noun
mainstay,pilier,العمود,,noun
make room,faire de la place,إفساح المجال,,noun
manor,manoir,قصر,,noun
marble,marbre,رخام,,noun
mattress,matelas,فراش,,noun
mellow,moelleux,يانع,,noun
mermaid,sirène,حورية البحر,,noun
midday,midi,منتصف النهار,,adjective
mildly,doucement,بشكل طفيف,,adverb
mind the gap,attention à l'écart,انتبه بالفجوة,,phrase
misled,induit en erreur,مضلل,,adjective
moans,gémissements,أنين,,noun
mob,mafia,المافيا,,noun slang
mock interview,simulation d'entretien,مقابلة وهمية,,noun phrase
monk,moine,راهب,,noun
mop,serpillière,ممسحة,,noun
mortgage,hypothèque,القرض العقاري,,noun
moth,papillon de nuit,عثة,,noun
mudslinging,dénigrement,التشهير,,noun
mugshot,photo d'identité judiciaire,صورة جنائية,,noun
mulch,paillis,مهاد,,noun
mundane,banal,عادي,,adjective
my car broke down,ma voiture est tombée en panne,تعطلت سيارتي,,phrase
my motto in life,ma devise dans la vie,شعاري في الحياة,,phrase
nail,clou,مسمار,,noun
nap,sieste,قيلولة,,noun
narrow escape,échappé de justesse,هروب ضيق,,noun
nearby,à proximité,قريب,,adjective
neat,soigné,مرتب / أنيق,,adjective
necklace,collier,قلادة,,noun
neither do I,moi non plus,ولا أنا,,phrase
nevertheless,néanmoins,مع ذلك,,adverb
nimble,agile,رشيق,,adjective
no pun intended,sans jeu de mots,بدون تورية مقصودة,,phrase
noon,midi,ظهرا,,noun
nourishing,nourissant,مغذية,,adjective
oath,serment,قسم,,noun
obnoxious,odieux,بغيض,,adjective
offender,délinquant,جاني,,noun
offloading,débarquement,التفريغ,,noun
ointment,pommade,مرهم,,noun
old-fashioned,démodé,قديم,,adjective
old-timey,à l'ancienne,قديم الطراز,,adjective
on behalf of,au nom de,باسم,,phrase
on foot,à pied,سيرا على الأقدام,,prepositional phrase
on set,sur le plateau,موقع التصوير,,prepositional phrase
on site,sur site,في الموقع,,prepositional phrase
on time,à l'heure,في الوقت المحدد,,prepositional phrase
oomph,du punch,جاذبية / حيوية,,noun
ostrich,autruche,نعامة,,noun
outage,panne,انقطاع,,noun
outbreak,épidémie,وباء ,,noun
outburst,explosion,فورة / انفجار,,noun
outlets,points de vente,منافذ / متاجر,,noun
outsourcing,externalisation,الاستعانة بمصادر خارجية,,noun
outspoken,franc,صريح,,adjective
outstanding,exceptionnel,متميز,,adjective
overblown,exagéré,مبالغ فيه,,adjective
overlaid,superposé,مغطى,,adjective
overnight,du jour au lendemain,بين عشية وضحاها,,adverb
oversight,surveillance,الرقابة,,noun
overwhelming,accablant / écrasant,ساحق,,adjective
ownership,possession / propriété,ملكية,,noun
pal,copain,صديق,,noun slang
paperclip,trombone,مشبك الورق,,noun
parrot,perroquet,ببَّغاء,,noun
passed out,s'est évanoui,مغمى عليه / فاقد الوعي,,phrasal_verb
patent,brevet,براءة اختراع,,noun
pay,paie,أجرة,,noun
paycheck,chèque de paie,راتب,,noun
pear,poire,كُمَّثرَى / إجاص,,noun
pedestrian,piéton,مشاة,,noun
penny,centime,بنس,,noun
pepper,poivre,الفلفل,,noun
pet,animal de compagnie,حيوان أليف,,noun
phishing,hameçonnage,التصيد,,noun
phony,faux,زائف,,adjective slang
pillow,oreiller,وسادة,,noun
pineapple,ananas,أناناس,,noun
piss me off,m'énerve,يغضبني,,adjective
pit,fosse,حفرة,,noun
plagiarism,plagiat,سرقة علمية,,noun
pleased to meet you,ravi de vous rencontrer,ممتن لمقابلتك,,phrase
plummeting,en chute libre,هبوط,,adjective
pond,étang / bassin / mare,بركة,,noun
porch,véranda,الشرفة,,noun
prawn,crevette,جمبري,,noun
premises,locaux,مباني,,noun
pretty interesting,plutôt intéressant,مثيرة للاهتمام,,adjective phrase
pretty much,à peu près,الى حد كبير,,adverb
proof,preuve,دليل,,noun
propellers,hélices,مراوح,,noun
pundit,expert,الناقد,,noun
puppets,marionnettes,الدمى,,noun
puppy,chiot,جرو,,noun
purse,sac à main,حقيبة,,noun
put on your coat,mets ton manteau,ارتدي معطفك,,phrase
queer,bizarre,غريب,,noun
rack,étagère,رف,,noun
raincoat,imperméable,معطف واق من المطر,,noun
rape,viol,اغتصاب,,noun
rarely,rarement,نادرًا,,adverb
real estate,immobilier,العقارات,,noun
realm,royaume,عالم / مملكة,,noun
recall,rappel,تذكير,,noun
receipt,reçu,إيصال / فاتورة,,noun
rejuvenating,rajeunissant,مجدد,,adjective
relapse,rechute,انتكاس,,noun
relevant,pertinent,مناسب,,adjective
relieved,soulagé,مرتاح,,adjective
repellent,répulsif,طارد,,adjective
retail,vente au détail,بيع بالتجزئة,,noun
revered,vénéré,مُوقر / مبجل,,adjective
riddle,devinette,لغز,,noun
rigged,truqué,مزورة,,adjective
rigging,truquage,تزوير,,noun
right away,tout de suite,فورا,,phrase
riot,émeute,أعمال شغب,,noun
ripple,ondulation,تموج,,noun
roadblock,barrage routier,حاجز طريق,,noun
rogue,voyou,مارقة,,noun
rolls,rouleaux,لفائف,,noun
rope,corde,حبل,,noun
rot,peste / pourriture,تعفن,,noun
round trip,aller-retour,رحلة ذهاب وإياب,,noun
rubber,caoutchouc,مطَّاط,,noun
rubber ducky,canard en caoutchouc,بَطَّة مَطَّاطِيَّة,,noun
rug,tapis,بساط,,noun
rung,échelon,درجة,,noun
rusty,rouillé,صدئ,,adjective
ruthless,impitoyable,قاس / عديم الرحمة,,adjective
safe,coffre-fort,خزنة,,noun
sailor,marin,بحار,,noun
sanity,santé mentale,سلامة العقل,,noun
scale,balance,ميزان,,noun
scatter,dispersion,مبعثر,,noun
scrap,feraille,خردة,,noun
scratched,rayé,مخدوشة,,adjective
screening,dépistage,الفحص,,noun
screwdriver,tournevis,مفك البراغي,,noun
screwed,foutu,انتهى أمرنا,,adjective slang
seagull,mouette,النَوْرَس,,noun
seamless,sans coupure / continue,سلس,,adjective
seashells,coquillage,الأصداف البحرية,,noun
seashore,bord de mer,شاطئ البحر,,noun
seminal book,livre fondateur,كتاب مؤسس,,noun
semolina,semoule,سميد,,noun
shack,cabane,كوخ,,noun
shady,louche,مشبوه,,adjective
sharp blow,coup sec,ضربة حادة,,noun
she'd better hurry,elle ferait mieux de se dépêcher,من الأفضل أن تسرع,,phrase
shed,hangar,مستودع,,noun
shelter,abri,مَأوىً,,noun
shortage,pénurie,نقص,,noun
shorthand,abrégé,اختزال,,noun
sifting through,passer au crible,التصفية,,phrasal_verb
sifting through the rubble,fouiller les décombres,غربلة الأنقاض,,phrasal_verb
sight,vue,رؤية,,noun
silk,soie,حرير,,noun
single-handedly,à lui seul,بمفرده,,adverb
sip,gorgée,رشفة,,noun
skewed,biaisé,منحرف,,adjective
skyscraper,gratte-ciel,ناطحة سحاب,,noun
slightly,légèrement,قليلاً,,adverb
slingshot,lance-pierres,مقلاع,,noun
slope,pente,منحدر,,noun
smooth,lisse,سلس,,noun
snapped up,acheté/saisi rapidement,اقتنص,,phrasal_verb
snapshot,instantané,لقطة سريعة,,noun
snobbishness,snobisme,تكبر,,noun
snoring,ronflement,الشخير,,noun
soaked,trempé,مبلل,,adjective
soggy,détrempé,رطب,,adjective
sore throat,mal de gorge,التهاب الحلق,,noun
spare parts,pièces de rechange,قطع غيار,,noun
spare time,temps libre,وقت الفراغ,,noun
sparse,clairsemé,متفرِّق,,adjective
spearhead,fer de lance,رائد,,noun
spit on them,cracher dessus,يبصقون عليهم,,phrase
spoofed,usurpé,مزيف,,noun
spoofing,usurpation d'identité,انتحال,,noun
squeaky clean,impeccablement propre,نقية تماما,,adjective
squirrel,écureuil,سنجاب,,noun
staging,mise en scène,تجهيز المسرح,,noun
stainless steel,acier inoxydable,الفولاذ المقاوم للصدأ,,adjective phrase
stakeholders,parties prenantes,أصحاب المصلحة,,noun
stalk,tige,ساق,,noun
stapler,agrafeuse,دباسة,,noun
stash,planque,مخبأ,,noun
steadily,régulièrement,بثبات,,adverb
steam,vapeur,بخار,,noun
steepness,pente,انحدار,,noun
steering wheel,volant,مِقْوَد,,noun
stench,puanteur,رائحة كريهة,,noun
stew,ragoût,حساء,,noun
stiff,rigide / raide,شديدة / قاسية,,adjective
stipends,allocations,رواتب,,noun
stitches,points de suture,غرز,,noun
stove,poêle,مقلاة,,noun
stream away,s'écouler,يتشتت بعيدًا,,phrasal_verb
stretching,étirement,تمتد,,noun
stubborn,têtu,عنيد,,adjective
subcontracting,sous-traitance,التعاقد من الباطن,,noun
subordinate,subordonné,تابع,,noun
suburb,banlieue,ضاحية,,noun
summit,sommet,قمة,,noun
supplier,fournisseur,مزود,,noun
supply chain,chaîne d'approvisionnement,سلسلة التوريد,,noun
swindler,escroc,محتال,,noun
tab,onglet,علامة التبويب,,noun
tech savvy,féru de technologie,المهتمين بالتكنولوجيا,,adjective
telephone booth,cabine télephonique,كشك الهاتف,,noun
tender,appel d'offres,مناقصة,,adjective
tense,crispé,متوتِّر,,adjective
terse,laconique,مُقْتَضَب,,adjective
that's exactly what I needed,c'est exactement ce dont j'avais besoin,هذا هو بالضبط ما احتاجه,,phrase
that's not the point,ce n'est pas la question,هذا ليس المقصد,,phrase
the sun rose,le soleil s'est levé,أشرقت الشمس,,phrase
there aren't enough plates,il n'y a pas assez d'assiettes,لا توجد أطباق كافية,,phrase
thick,épais,سميك,,adjective
thigh,cuisse,فخذ,,noun
thirsty,assoiffé,عطشان,,adjective
thoughtful,réfléchi,مدروس,,adjective
threatening,menaçant,مهدد,,adjective
three-story house,maison à trois étages,منزل من ثلاثة طوابق,,phrase
threshold,seuil,عتبة,,noun
throat,gorge,حُلقُوم,,noun
throughput,débit,الإنتاجية,,noun
thruster,propulseur,دافع,,noun
thus,ainsi,هكذا,,adverb
tide,marée,المد,,noun
tight,serré,ضيق,,adjective
tilt,inclinaison,ميل,,noun
timely,en temps opportun,في الوقت المناسب,,adjective
tiny,minuscule,صغير,,adjective
tires,pneus,إطارات,,noun
tired,fatigué,مرهق,,adjective
to accuse,accuser,اِتَّهَمَ,,verb
to amend,modifier,عدل,,verb
to arise,surgir,نشأ,,verb
to aspire,aspirer,طمح,,verb
he bailed on me,il m'a laissé tomber,تخلى عني,,phrase slang
bail on the plan,renoncer au plan,تراجع عن الخطة,,phrase slang
to bake,cuire,خَبَزَ,,verb
to beg,supplier,تَسَوَّلَ,,verb
to bet,miser,رَهَنَ,,verb
to bid,enchérir,زايد,,verb
to bite,mordre,عَضَّ,,verb
to boast,se vanter,تَبَاهَى,,verb
to break,casser / rompre,كسر,,verb
to bundle,regrouper,حَزَمَ,,verb
to carry out,réaliser,تنفيذ,,phrasal_verb
to cipher,chiffrer,تشفير,,verb
to collapse,s'effondrer,اِنْهَار,,verb
to complain about,se plaindre de,يشتك,,phrasal_verb
to comply,se conformer,اِمْتَثَلَ,,verb
to compromise,compromettre,تَنَازَلَ,,verb
to crawl,ramper,زحف,,verb
to dangle,mettre en balance,دَلَّى,,verb
to delve,approfondir,تعمق,,verb
to demand,exiger,طلب,,verb
to despise,mépriser,احتقر,,verb
to detach,détacher,فصل,,verb
to dictate,dicter,أَمْلَى,,verb
to dig,creuser,حفر,,verb
to disclose,divulger,كشف,,verb
to dispel,dissiper,بَدَّدَ,,verb
to disturb,déranger,أزعج,,verb
to dive,plonger,غاص,,verb
to divert,détourner,حوّل,,verb
to drag,traîner,سحب,,verb
to drown,noyer,غرق,,verb
to dump,jeter / déverser,أفرغ / رَمَى,,verb
to eat out,manger au restaurant,تَنَاوَلَ الطَّعَام خَارِج المَنْزِل,,phrasal_verb
to emphasize,souligner,أَكَّدَ,,verb
to encompass,englober,شمل,,verb
to engage,engrainer,تَفَاعَلَ / اِنْخَرَطَ,,verb
to enthrall,captiver,إثارة,,verb
to erase,effacer,محو,,verb
to evict,expulser,طرد,,verb
to face up,faire face,مواجهة,,phrasal_verb
to fathom,comprendre,فهم,,verb
to figure out,comprendre,فَهِمَ,,phrasal_verb
to find out,découvrir,اِكْتَشَفَ,,phrasal_verb
to flesh out,étoffer,أجسد,,phrasal_verb
to float,flotter,طَفَا,,verb
to flow,couler,تدفق,,verb
to fold,plier,طَوَى,,verb
to foster,favoriser,تعزيز,,verb
to freeze,glacer,تجميد,,verb
to fumble,tâtonner,تلعثم,,verb
to gather,rassembler,جمع,,verb
to get rid of,se débarrasser de,التخلص من,,phrasal_verb
to giggle,rire,ضحك,,verb
to give up,abandonner,اِسْتَسْلَمَ,,phrasal_verb
to go up,monter,ارتفع / صَعِدَ,,phrasal_verb
to greet,saluer,حَيَّا,,verb
to hand over,remettre,سلم,,phrasal_verb
to hand over controls,transférer les commandes,تسليم الضوابط,,phrasal_verb
to hang,accrocher,علق,,verb
to hang out,traîner,تَسَكَّعَ,,phrasal_verb
to hang up,raccrocher,أَغْلَقَ الْخَطّ,,phrasal_verb
to harvest,récolter,حصد,,verb
to herald,annoncer,بشر,,verb
to hire,embaucher,استأجر,,verb
to hoard,thésauriser,اكتنز,,verb
to hug,faire un câlin,عانق,,verb
to hustle,bousculer,صَخِبَ,,verb
to intermingle,s'entremêler,اختلط,,verb
to jettison,jeter à la poubelle,تخلص,,verb
to jumble,mélanger,خلط,,verb
to last,durer,يدوم,,verb
to lay off,licencier,سرح,,phrasal_verb
to look out,faire attention,احترس,,phrasal_verb
to make illegible,rendre illisible,جعل غير مقروء,,phrasal_verb
to meddle,se mêler,تدخل,,verb
to melt,faire fondre,ذوب,,verb
to mitigate,atténuer,تخفيف,,verb
to move in,emménager,الانتقال للعيش,,phrasal_verb
to move out,déménager,اِنْتَقَلَ / خرج,,phrasal_verb
to narrow down,affiner,تضييق نطاق,,verb
to nibble,grignoter,قَضَمَ,,verb
to opt out,se retirer,اِنْسَحَبَ,,phrasal_verb
to overtake,dépasser,تجاوز,,verb
to patch up,rafistoler,أَصْلَحَ,,phrasal_verb
to peek out,jeter un coup d'œil,إلقاء نظرة,,phrasal_verb
to postpone,reporter,تأجيل,,verb
to pretend to be,faire semblant d'être,تظاهر بأنك,,phrasal_verb
to pull in,attirer,سحب,,phrasal_verb
to pull off,enlever,خَلَعَ,,phrasal_verb
to purr,ronronner,خَرْخَرَ,,verb
to put aside,mettre de côté,وَضَعَ جانِباً,,phrasal_verb
to put off,repousser,أَجَّلَ,,phrasal_verb
to ramp up,intensifier,تكثف,,phrasal_verb
to rationalize,rationaliser,بَرَّرَ,,verb
to recover,récupérer,تَعَافَى,,verb
to rent,louer,اِسْتَأْجَرَ,,verb
