front,back,frontHint,backHint,label
blame shift,Rejeter la faute sur (quelqu'un),Re***** ** f**** s** ***********,bla** s****,phrase
bleeding,saignement,s*********,b****ing,noun
blender,mixeur,mi****,b******,noun
blending,mélange,m******,b****ing,noun
blind spots,angles morts,a***** m****,bli** s****,phrase
bloom,floraison,f********,b****,noun
blossom,fleur,f****,b******,noun
blower,ventilateur / soufleur,v********** / s*******,b*****,noun
bogus,faux,f***,b****,noun slang
booking,réservation,r**********,b***ing,noun
boredom,l'ennui,l'*****,b******,noun
boulder,rocher,ro****,b******,noun
boundary,limite / frontière,li**** / f********,b*******,adjective
brackets,crochets,c*******,b*******,noun
bratwurst,saucisse,s*******,b********,noun
breadth,largeur,l******,b******,noun
breed,race,r***,b****,noun
bride,mariée,ma****,b****,noun
brink,bord,b***,b****,noun
broad,large,l****,b****,adjective
bruised,bleu,m******,b******,adjective
bulletproof,pare-balles / blindé,p***-****** / b****é,bu*********,adjective
bump,bosse,b****,b***,noun
bundle sale,vente groupée,v**** g******,bun*** s***,noun
burden,fardeau,f******,b*****,noun
burgeoning,en plein essor,en p**** e****,b******ing,adjective
burial,enterrement,e**********,b*****,noun
butcher,boucher,b******,b******,noun
buzzword,mot à la mode,m** à la m***,b*******,noun
by tomorrow,d'ici demain,d'**********,b* t*******,prepositional phrase
capricious,capricieux,c*********,c*********,adjective
career fair,salon de l'emploi,s**** de l*******,car*** f***,noun
carrier,transport,t********,c******,noun
carved,sculpté,s*****é,c*****,adjective
catch-all,fourre-tout / receveur,f*****-**** / r*******,c********,noun
caterpillar,chenille,c*******,ca*********,noun
cave,grotte,gr****,c***,noun
caveat,mise en garde,m*** en g****,c*****,noun
ceiling,plafond,p******,c***ing,noun
cellar,cave,c***,c*****,noun
chalk,craie,c****,c****,noun
chasm,gouffre,g******,c****,noun
cheering,applaudissement,a**************,c****ing,noun
cheesy,ringard,r******,c*****,adjective
chicken out,se dégonfler,s* d********,chi**** o**,phrasal_verb
chickpeas,pois chiche,p*** c*****,c********,noun
chivalry,bravoure,b*******,c*******,noun
chopstick,baguette,b*******,c********,noun
chore,corvée,co****,c****,noun
chump,idiot,i****,c****,noun slang
chunk,tronçon,t******,c****,noun
cinder block,parpaing,p*******,cin*** b****,noun
clay,argile,ar****,c***,noun
clay court,terre battue,t**** b*****,cla* c****,noun phrase
clever,intelligent,i**********,c*****,adjective
cliff,falaise,f******,c****,noun
clockwise,dans le sens des aiguilles d'une montre,d*** le s*** des a******** d**** m*****,c********,adjective
closet,placard,p******,c*****,noun
clout,influence / poids,i******** / p****,c****,noun slang
clumsy,maladroit,m********,c*****,adjective
coal,charbon,c******,c***,noun
coffin,cercueil,c*******,c*****,noun
cog,rouage,ro****,c**,noun
cogwheel,roue dentée,r*** d*****,c*******,noun
colander,passoire,p*******,c*******,noun
collecting stamps,collectionner des timbres,c************ des t******,col******* s*****,phrase
comfy,confortable,c**********,c****,adjective
coming due,à la veille de l'échéance,à la v***** de l*********,com*** d**,phrase
commencement speech,discours de remise des diplômes,d******* de r***** des d*******,com********* s*****,noun phrase
commitment,engagement,e*********,c*****ment,adjective
compliance,conformité,c********é,c*********,noun
complicity,complicité,c********é,c*********,noun
confused,confus,co****,c*******,adjective
convenience,commodité,c*******é,co*********,noun
cooker,cuisinière,c*********,c*****,noun
corpse,cadavre,c******,c*****,noun
cottage,chalet,ch****,c******,noun
couch,canapé,c****é,c****,noun
cowardly,lâche,l****,c*******,adjective
cramming them,en les bourant,en les b******,cra***** t***,phrase
crane,grue,g***,c****,noun
crate,caisse,ca****,c****,noun
craved,désiré,d****é,c*****,adjective
credentials,informations d'identification,i*********** d***************,cr*********,noun
crisis,crise,c****,c*****,noun
crowd,foule,f****,c****,noun
cubs,oursons,o******,c***,noun
cuddle,câlin,c****,c*****,noun
cue,signal,si****,c**,noun
cue the lights,actionner les lumières,a******** l** l********,c** t** l*****,phrase
culprit,coupable,c*******,c******,noun
cumbersome,lourd,l****,c*********,adjective
cupboard,armoire,a******,c*******,noun
curly braces,accolades,a********,cur** b*****,noun
curse,malédiction,m**********,c****,noun
curtains,rideaux,r******,c*******,noun
cutting-edge,avant-gardiste,a****-********,cu**********,adjective
damp,humide,hu****,d***,adjective
darts,fléchettes,f*********,d****,noun
deaf,sourd,s****,d***,adjective
deck,pont,p***,d***,noun
deer,cerf,c***,d***,noun
defect,défaut,dé****,d*****,noun
delivery,livraison,l********,d*******,noun
deprecated,obsolète,o*******,d*********,adjective
derelict,abandonné,a*******é,d*******,adjective
desperate,désespéré,d*******é,d********,adjective
despite,malgré,m****é,d******,preposition
detainee,détenu,dé****,d*******,noun
devoid,dépourvu,d*******,d*****,adjective
diary,agenda,ag****,d****,adjective
dimple,fossette,f*******,d*****,noun
disgruntled,mécontent,m********,di*********,adjective
disguise,déguisement,d**********,d*******,noun
disgusting,dégeulasse,d*********,d******ing,adjective
at my disposal,à ma disposition,d**********,d*******,noun
disruptive,perturbateur,p***********,d*********,adjective
do the housework,faire le ménage,f**** l* m*****,d* t** h********,phrase
do you mind if ...,ça te dérange si...,ç* t* d****** s*...,d* y** m*** i* ...,phrase
do you wanna come over ?,tu veux venir ?,t* v*** v**** ?,d* y** w**** c*** o*** ?,question
does it often snow in algiers ?,neige-t-il souvent à Alger ?,n****-***- s****** à A**** ?,d*** i* o**** s*** i* a****** ?,question
doll,poupée,po****,d***,noun
dope,génial,gé****,d***,noun slang
downstream,en aval,en a***,d*********,noun
dozens,dizaines,d*******,d*****,noun
drain,vidange,v******,d****,noun
dreadful,terrible,t*******,d*******,adjective
dreary,morne / triste,m**** / tr****,d*****,adjective
drill,perceuse,p*******,d****,noun
duct tape,ruban adhésif,r**** a******,duc* t***,noun
duffel bag,cabas,c****,duf*** b**,noun
dull,terne,t****,d***,adjective
dwelling,logement,l*******,d****ing,noun
earrings,boucles d'oreilles,b****** d*********,e*******,noun
ease,aisance,a******,e***,noun
eavesdropping,écoute clandestine,é***** c**********,e*********ing,noun
edible,comestible,c*********,e*****,adjective
eggplant,aubergine,a********,e*******,adjective
elderly,âgé,â*é,e******,adjective
enclosure,enceinte / boitier,e******* / b******,e********,noun
endorsement,recommendation / approbation,r************* / a**********,e******ment,noun
entrenched incumbents,acteurs établis / opérateurs en place solidement ancrés,a****** é****** / o********* en p**** s********* a*****,ent******* i*********,noun phrase
error-prone,sujet aux erreurs,s**** a** e******,er*********,adjective
eventually,finalement,f*********,e*********,adverb
everlasting,éternel,é******,e*******ing,adjective
exhausted,épuisé,é****é,e********,adjective
fabricated,inventé de toutes pièces,i****** de t***** p*****,f*********,adjective
facilities,installations / équipement,i************ / é*********,f*********,noun
farewell,adieu,a****,f*******,noun
feedforward,rétroaction,r**********,fe*********,noun
felony,crime,c****,f*****,noun
fine dining,restaurant gastronomique,r********* g***********,fin* d*****,noun
finicky,pointilleux,p**********,f******,adjective
firefighter,pompier,p******,fi*********,noun
flabbergasted,sidéré,s****é,fl***********,adjective
flawless,impeccable,i*********,f*******,adjective
flip side,côté opposé,c*** o*****,fli* s***,noun
flood,inondation,i*********,f****,noun
floppy disk,disquette,d********,flo*** d***,noun
floppy ears,oreilles tombantes,o******* t********,flo*** e***,phrase
fluffy,duveteux,d*******,f*****,adjective
flush out toxins,éliminer les toxines,é******* l** t******,f**** o** t*****,phrase
flustered,agité,a***é,f********,adjective
foe,ennemi,en****,f**,noun
foolproof,infaillible,i**********,f********,adjective
forbidden,interdit,i*******,f********,adjective
forecast,prévision,p********,f*******,noun
forensic science,science médico-légale,s****** m************,for***** s******,noun
forensics,criminalistique,c**************,f********,noun
forgery,contrefaçon,c**********,f******,noun
frankly,franchement,f**********,f******,adverb
freaky,flippant,f*******,f*****,adjective slang
frightened,effrayé,e*****é,f*********,adjective
fungus,champignon,c*********,f*****,noun
funnel,entonnoir,e********,f*****,noun
fur,fourrure,f*******,f**,noun
futile,futile,fu****,f*****,adjective
gaffer,patron / chef / boss,pa**** / c*** / b***,g*****,noun
gathering,rassemblement,r************,g*****ing,noun
genuine,authentique,a**********,g******,adjective
genuinely,véritablement / sincèrement,v************ / s**********,g********,adverb
glitter,paillettes,p*********,g******,noun
glow worm,ver luisant,v** l******,glo* w***,noun
grape,raisin,ra****,g****,noun
grasshopper,sauterelle,s*********,gr*********,noun
grifter,escroc,es****,g******,noun slang
grocery,épicerie,é*******,g******,noun
ground truth,vérité fondamentale,v***** f***********,gro*** t****,noun phrase
groundbreaking,révolutionnaire,r**************,g**********ing,adjective
guardrail,rambarde,r*******,g********,noun
guilty,coupable,c*******,g*****,adjective
guts,cran,c***,g***,noun
hallmarks,caractéristiques,c***************,h********,noun
hallway,couloir,c******,h******,noun
handle,poignée,p******,h*****,noun
handout,polycopié,p*******é,h******,noun
handy,pratique,p*******,h****,adjective
hangover,gueule de bois,g***** de b***,h*******,noun
hardened,endurci,e******,h*******,adjective
hardly ever,quasiment jamais,q******** j*****,har*** e***,adverb
harmless,inoffensif,i*********,h*******,adjective
hauling,transport,t********,h***ing,noun
headlines,gros titres,g*** t*****,h********,noun
headquarters,quartier général,q******* g******,he**********,noun
heardresser,coiffeur,c*******,he*********,noun
heist,braquage,b*******,h****,noun
helm chart,tableau de bord,t****** de b***,hel* c****,noun
hemorrhage,hémorragie,h*********,h*********,noun
hemp,chanvre,c******,h***,noun
hence,par conséquent,p** c*********,h****,adverb conjunction
herding,élevage,é******,h***ing,noun
high-toil system,système à forte charge opérationnelle,s****** à f**** c***** o*************,hig****** s*****,phrase
hike,randonnée,r********,h***,noun
hindsight,recul,r****,h********,noun
hitchhiker,auto-stoppeur,a***-********,h*********,noun
hive,ruche,r****,h***,noun
horn,corne,c****,h***,noun
hose,tuyau,t****,h***,noun
hotbed,foyer,f****,h*****,noun
housemaid,femme de ménage,f**** de m*****,h********,noun
how long have you been a teacher ?,depuis combien de temps es-tu enseignant ?,d***** c****** d* t**** e*-** e********* ?,h** l*** h*** y** b*** a t****** ?,question
hurdle,obstacle,o*******,h*****,noun
hush money,argent pour se taire,a***** p*** s* t****,hus* m****,noun
I beg you,je t'en supplie,je t*** s******,I b** y**,phrase
i didn't do it on purpose,je ne l'ai pas fait exprès,je n* l** p** f*** e*****,i d***** d* i* o* p******,phrase
i don't mind waiting,ça ne me dérange pas d'attendre,ç* n* m* d****** p** d********,i d**** m*** w***ing,phrase
i don't want there to be too many people tonight,je ne veux pas qu'il y ait trop de monde ce soir,je n* v*** p** q**** y a** t*** d* m**** c* s***,i d**** w*** t**** t* b* t** m*** p***** t******,phrase
i was walking my dog,je promenais mon chien,je p******** m** c*****,i w** w***ing m* d**,phrase
i'm delighted to make your acquaintance,enchanté de faire votre connaissance,e******* d* f**** v**** c***********,i** d******** t* m*** y*** a***********,phrase
i'm looking forward to seeing you again,j'ai hâte de te revoir,j*** h*** d* t* r*****,i** l***ing f****** t* s**ing y** a****,phrase
ill-humored,de mauvaise humeur,de m******* h*****,il*********,adjective
ill-intentioned,de mauvaise intention,de m******* i********,il*************,adjective
in hindsight,avec le recul,a*** le r****,i* h********,prepositional phrase
incentive,incitation,i*********,i********,adjective
incoming,entrant,e******,i****ing,noun
It is incumbent upon us to help,il est de notre devoir d'aider,il est de notre devoir d'*****,It is ********* upon us to help,adjective
independently,indépendamment,i*************,in***********,adverb
infringement,infraction,i*********,i*******ment,noun
injured,blessé,b****é,i******,adjective
injury,blessure,b*******,i*****,noun
ink,encre,e****,i**,noun
inquiry,enquête,e******,i******,noun
insight,aperçu,ap****,i******,noun
insights,connaisances,c***********,i*******,noun
intended,destiné,d*****é,i*******,adjective
intricacies,subtilités,s*********,in*********,noun
it was great,c'était génial,c***** g*****,i* w** g****,phrase
it's freezing,il fait un froid glacial,i* f*** u* f**** g******,i*** f****ing,phrase
it's time you went to bed,il est temps d'aller au lit,i* e** t**** d***** a* l**,i*** t*** y** w*** t* b**,phrase
jar of jam,pot de confiture,p** d* c********,j** o* j**,phrase
jerk,con,c**,j***,noun slang
jerky,saccadé,s*****é,j****,adjective
jewel,bijou / joyau,b**** / j****,j****,noun
junk,ordure,or****,j***,noun
junkyard,casse,c****,j*******,noun
keystroke,frappe de touche,f***** de t*****,k********,noun
kidney,rein,r***,k*****,noun
klin,four,f***,k***,noun
knees,genoux,ge****,k****,noun
knob,bouton / poignée,bo**** / p******,k***,noun
laggards,retardataires,r************,l*******,noun
lagging,en retard,en r*****,l***ing,adjective
landlord,propriétaire,p***********,l*******,noun
landmark,point de repère,p**** de r*****,l*******,noun
lane,voie,v***,l***,noun
launchly point,point de lancement,p**** de l********,lau***** p****,noun
lawn,gazon,g****,l***,noun
layover,escale / halte,es**** / h****,l******,noun
leak,fuite,f****,l***,noun
leather,cuir,c***,l******,noun
ledger,registre,r*******,l*****,noun
leverage,effet de levier,e**** de l*****,l*******,noun
lid,couvercle,c********,l**,noun
light,léger,l****,l****,noun
likewise,de même,de m***,l*******,adverb
limb,membre,me****,l***,noun
lingering,persistant,p*********,l*****ing,noun
list price,prix ​​catalogue,p*** ​**********,lis* p****,noun
liver,foie,f***,l****,noun
lollipop,sucette,s******,l*******,noun
loony,cinglé,c****é,l****,noun slang
loophole,échappatoire,é***********,l*******,noun
low-key,discret,d******,l******,adjective
luggage,bagage,ba****,l******,noun
lumpy gravy,sauce grumeleuse,s****** g********,l**** g****,adjective
lunchable,déjeuner,d*******,l********,adjective
lung,poumon,po****,l***,noun
mainstay,pilier,pi****,m*******,noun
make room,faire de la place,f**** de la p****,mak* r***,noun
manor,manoir,ma****,m****,noun
marble,marbre,ma****,m*****,noun
mattress,matelas,m******,m*******,noun
mellow,moelleux,m*******,m*****,noun
mermaid,sirène,si****,m******,noun
midday,midi,m***,m*****,adjective
mildly,doucement,d********,m*****,adverb
mind the gap,attention à l'écart,a******** à l'*****,m*** t** g**,phrase
misled,induit en erreur,i***** en e*****,m*****,adjective
moans,gémissements,g***********,m****,noun
mob,mafia,m****,m**,noun slang
mock interview,simulation d'entretien,s********* d**********,moc* i********,noun phrase
monk,moine,m****,m***,noun
mop,serpillière,s**********,m**,noun
mortgage,hypothèque,h*********,m*******,noun
moth,papillon de nuit,p******* de n***,m***,noun
mudslinging,dénigrement,d**********,m*******ing,noun
mugshot,photo d'identité judiciaire,p**** d*********,m******,noun
mulch,paillis,p******,m****,noun
mundane,banal,b****,m******,adjective
my car broke down,ma voiture est tombée en panne,m* v****** e** t***** e* p****,m* c** b**** d***,phrase
my motto in life,ma devise dans la vie,m* d***** d*** l* v**,m* m*** i* l***,phrase
nail,clou,c***,n***,noun
nap,sieste,si****,n**,noun
narrow escape,échappé de justesse,é****** de j*******,nar*** e*****,noun
nearby,à proximité,à p********,n*****,adjective
neat,soigné,s****é,n***,adjective
necklace,collier,c******,n*******,noun
neither do I,moi non plus,m** n** p***,n****** d* I,phrase
nevertheless,néanmoins,n********,ne**********,adverb
nimble,agile,a****,n*****,adjective
no pun intended,sans jeu de mots,s*** j** d* m***,n* p** i*******,phrase
noon,midi,m***,n***,noun
nourishing,nourissant,n*********,n******ing,adjective
oath,serment,s******,o***,noun
obnoxious,odieux,od****,o********,adjective
offender,délinquant,d*********,o*******,noun
offloading,débarquement,d***********,o******ing,noun
ointment,pommade,p******,o***ment,noun
old-fashioned,démodé,d****é,o** f********,adjective
old-timey,à l'ancienne,à l'********,o********,adjective
on behalf of,au nom de,a* n** d*,o* b***** o*,phrase
on foot,à pied,à p***,o* f***,prepositional phrase
on set,sur le plateau,s** le p******,o* s**,prepositional phrase
on site,sur site,s** s***,o* s***,prepositional phrase
on time,à l'heure,à l'*****,o* t***,prepositional phrase
oomph,du punch,du p****,o****,noun
ostrich,autruche,a*******,o******,noun
outage,panne,p****,o*****,noun
outbreak,épidémie,é*******,o*******,noun
outburst,explosion,e********,o*******,noun
outlets,points de vente,p***** de v****,o******,noun
outsourcing,externalisation,e**************,o*******ing,noun
outspoken,franc,f****,o********,adjective
outstanding,exceptionnel,e***********,o*******ing,adjective
overblown,exagéré,e*****é,o********,adjective
overlaid,superposé,s*******é,o*******,adjective
overnight,du jour au lendemain,du j*** a* l********,o********,adverb
oversight,surveillance,s***********,o********,noun
overwhelming,accablant / écrasant,a******** / é*******,o********ing,adjective
ownership,possession / propriété,p********* / p*******é,o********,noun
pal,copain,co****,p**,noun slang
paperclip,trombone,t*******,p********,noun
parrot,perroquet,p********,p*****,noun
passed out,s'est évanoui,s**** é******,pas*** o**,phrasal_verb
patent,brevet,br****,p*****,noun
pay,paie,p***,p**,noun
paycheck,chèque de paie,c***** de p***,p*******,noun
pear,poire,p****,p***,noun
pedestrian,piéton,pi****,p*********,noun
penny,centime,c******,p****,noun
pepper,poivre,po****,p*****,noun
pet,animal de compagnie,a***** de c********,p**,noun
phishing,hameçonnage,h**********,p****ing,noun
phony,faux,f***,p****,adjective slang
pillow,oreiller,o*******,p*****,noun
pineapple,ananas,an****,p********,noun
piss me off,m'énerve,m*******,p*** m* o**,adjective
pit,fosse,f****,p**,noun
plagiarism,plagiat,p******,p*********,noun
pleased to meet you,ravi de vous rencontrer,r*** d* v*** r**********,p****** t* m*** y**,phrase
plummeting,en chute libre,en c**** l****,p******ing,adjective
pond,étang / bassin / mare,é**** / ba**** / m***,p***,noun
porch,véranda,v******,p****,noun
prawn,crevette,c*******,p****,noun
premises,locaux,lo****,p*******,noun
pretty interesting,plutôt intéressant,p***** i**********,pre*** i**********,adjective phrase
pretty much,à peu près,à p** p***,pre*** m***,adverb
proof,preuve,pr****,p****,noun
propellers,hélices,h******,p*********,noun
pundit,expert,ex****,p*****,noun
puppets,marionnettes,m***********,p******,noun
puppy,chiot,c****,p****,noun
purse,sac à main,s** à m***,p****,noun
put on your coat,mets ton manteau,m*** t** m******,p** o* y*** c***,phrase
queer,bizarre,b******,q****,noun
rack,étagère,é******,r***,noun
raincoat,imperméable,i**********,r*******,noun
rape,viol,v***,r***,noun
rarely,rarement,r*******,r*****,adverb
real estate,immobilier,i*********,rea* e*****,noun
realm,royaume,r******,r****,noun
recall,rappel,ra****,r*****,noun
receipt,reçu,r***,r******,noun
rejuvenating,rajeunissant,r***********,r********ing,adjective
relapse,rechute,r******,r******,noun
relevant,pertinent,p********,r*******,adjective
relieved,soulagé,s*****é,r*******,adjective
repellent,répulsif,r*******,r********,adjective
retail,vente au détail,v**** a* d*****,r*****,noun
revered,vénéré,v****é,r******,adjective
riddle,devinette,d********,r*****,noun
rigged,truqué,t****é,r*****,adjective
rigging,truquage,t*******,r***ing,noun
right away,tout de suite,t*** d* s****,r**** a***,phrase
riot,émeute,ém****,r***,noun
ripple,ondulation,o*********,r*****,noun
roadblock,barrage routier,b****** r******,r********,noun
rogue,voyou,v****,r****,noun
rolls,rouleaux,r*******,r****,noun
rope,corde,c****,r***,noun
rot,peste / pourriture,p**** / p*********,r**,noun
round trip,aller-retour,a****-******,rou** t***,noun
rubber,caoutchouc,c*********,r*****,noun
rubber ducky,canard en caoutchouc,c***** en c*********,rub*** d****,noun
rug,tapis,t****,r**,noun
rung,échelon,é******,r***,noun
rusty,rouillé,r*****é,r****,adjective
ruthless,impitoyable,i**********,r*******,adjective
safe,coffre-fort,c*****-****,s***,noun
sailor,marin,m****,s*****,noun
sanity,santé mentale,s**** m******,s*****,noun
scale,balance,b******,s****,noun
scatter,dispersion,d*********,s******,noun
scrap,feraille,f*******,s****,noun
scratched,rayé,r**é,s********,adjective
screening,dépistage,d********,s*****ing,noun
screwdriver,tournevis,t********,sc*********,noun
screwed,foutu,f****,s******,adjective slang
seagull,mouette,m******,s******,noun
seamless,sans coupure / continue,s*** c****** / c*******,s*******,adjective
seashells,coquillage,c*********,s********,noun
seashore,bord de mer,b*** de m**,s*******,noun
seminal book,livre fondateur,l**** f********,sem**** b***,noun
semolina,semoule,s******,s*******,noun
shack,cabane,ca****,s****,noun
shady,louche,lo****,s****,adjective
sharp blow,coup sec,c*** s**,sha** b***,noun
she'd better hurry,elle ferait mieux de se dépêcher,e*** f***** m**** d* s* d*******,s**** b***** h****,phrase
shed,hangar,ha****,s***,noun
shelter,abri,a***,s******,noun
shortage,pénurie,p******,s*******,noun
shorthand,abrégé,s*********** / a****é,s********,noun
sifting through,passer au crible,p***** a* c*****,sif**** t******,phrasal_verb
sifting through the rubble,fouiller les décombres,f******* l** d********,sif**** t****** t** r*****,phrase
sight,vue,v**,s****,noun
silk,soie,s***,s***,noun
single-handedly,à lui seul,à l** s***,si*************,adverb
sip,gorgée,go****,s**,noun
skewed,biaisé,b****é,s*****,adjective
skyscraper,gratte-ciel,g*****-****,s*********,noun
slightly,légèrement,l*********,s*******,adverb
slingshot,lance-pierres,l****-*******,s********,noun
slope,pente,p****,s****,noun
smooth,lisse,l****,s*****,noun
snapped up,acheté/saisi rapidement,a*********** r*********,sna**** u*,phrasal_verb
snapshot,instantané,i********é,s*******,noun
snobbishness,snobisme,s*******,sn**********,noun
snooker,billard,b******,s******,noun
snoring,ronflement,r*********,s***ing,noun
soaked,trempé,t****é,s*****,adjective
soggy,détrempé,d******é,s****,adjective
sore throat,mal de gorge,m** de g****,sor* t*****,noun
spare parts,pièces de rechange,p***** de r*******,spa** p****,noun
spare time,temps libre,t**** l****,spa** t***,noun
sparse,clairsemé,c*******é,s*****,adjective
spearhead,fer de lance,f** de l****,s********,noun
spit on them,cracher dessus,c****** d*****,s*** o* t***,phrase
spoofed,usurpé,u****é,s******,noun
spoofing,usurpation d'identité,u********* d*********,s****ing,noun
spoon-fed,nourri à la cuillère,n***** à la c*******,s********,verb
squeaky clean,impeccablement propre,i************* p*****,squ**** c****,adjective
squirrel,écureuil,é*******,s*******,noun
staging,mise en scène,m*** en s****,s***ing,noun
stainless steel,acier inoxydable,a**** i*********,sta****** s****,adjective phrase
stakeholders,parties prenantes,p****** p********,st**********,noun
stalk,tige,t***,s****,noun
stapler,agrafeuse,a********,s******,noun
stash,planque,p******,s****,noun
steadily,régulièrement,r************,s*******,adverb
steam,vapeur,va****,s****,noun
steepness,pente,p****,s********,noun
steering wheel,volant,vo****,ste***** w****,noun
stench,puanteur,p*******,s*****,noun
stew,ragoût,ra****,s***,noun
stiff,raide,r****,s****,adjective
stipends,allocations,a**********,s*******,noun
stitches,points de suture,p***** de s*****,s*******,noun
stove,poêle,p****,s****,noun
stream away,s'écouler,s********,str*** a***,phrasal_verb
stretching,étirement,é********,s******ing,noun
stubborn,têtu,t***,s*******,adjective
subcontracting,sous-traitance,s***-*********,s**********ing,noun
subordinate,subordonné,s********é,su*********,noun
suburb,banlieue,b*******,s*****,noun
summit,sommet,so****,s*****,noun
supplier,fournisseur,f**********,s*******,noun
supply chain,chaîne d'approvisionnement,c***** d******************,sup*** c****,noun
swindler,escroc,es****,s*******,noun
tab,onglet,on****,t**,noun
tech savvy,féru de technologie,f*** de t**********,tec* s****,adjective
telephone booth,cabine télephonique,c***** t***********,tel****** b****,noun
tender,appel d'offres,a**** d*******,t*****,adjective
tense,crispé,c****é,t****,adjective
terse,laconique,l********,t****,adjective
that's exactly what I needed,c'est exactement ce dont j'avais besoin,c*** e********* c* d*** j***** b*****,t***** e****** w*** I n*****,phrase
that's not the point,ce n'est pas la question,c* n*** p** l* q*******,t***** n** t** p****,phrase
the sun rose,le soleil s'est levé,l* s***** s*** l***,t** s** r***,phrase
there aren't enough plates,il n'y a pas assez d'assiettes,i* n** a p** a**** d*********,t**** a***** e***** p*****,phrase
thick,épais,é****,t****,adjective
thigh,cuisse,cu****,t****,noun
thirsty,assoiffé,a******é,t******,adjective
thoughtful,réfléchi,r*******,t*********,adjective
threatening,menaçant,m*******,t*******ing,adjective
three-story house,maison à trois étages,m***** à t**** é*****,t**** s**** h****,phrase
threshold,seuil,s****,t********,noun
throat,gorge,g****,t*****,noun
throughput,débit,d****,t*********,noun
thruster,propulseur,p*********,t*******,noun
thus,ainsi,a****,t***,adverb
tide,marée,m****,t***,noun
tight,serré,s***é,t****,adjective
tilt,inclinaison,i**********,t***,noun
timely,en temps opportun,en t**** o*******,t*****,adjective
tiny,minuscule,m********,t***,adjective
tires,pneus,p***,t***,noun
tired,fatigué,f*****é,t****,adjective
to accuse,accuser,a******,t* a*****,verb
to amend,modifier,m*******,t* a****,verb
to arise,surgir,su****,t* a****,verb
to aspire,aspirer,a******,t* a*****,verb
to bail,se déchaîner,s* d********,t* b***,verb
to bake,cuire,c****,t* b***,verb
to beg,supplier,s*******,t* b**,verb
to bet,miser,m****,t* b**,verb
to bid,enchérir,e*******,t* b**,verb
to bite,mordre,mo****,t* b***,verb
to bloom,fleurir,f******,t* b****,verb
to boast,se vanter,s* v*****,t* b****,verb
to break,casser / rompre,ca**** / ro****,t* b****,verb
to bundle,regrouper,r********,t* b*****,verb
to carry out,exécuter,e*******,t* c**** o**,phrasal_verb
to cipher,chiffrer,c*******,t* c*****,verb
to collapse,s'effondrer,s**********,t* c*******,verb
to complain about,se plaindre de,s* p******* d*,t* c******* a****,phrasal_verb
to comply,se conformer,s* c********,t* c*****,verb
to compromise,compromettre,c***********,t* c*********,verb
to crawl,ramper,ra****,t* c****,verb
to dabble,s'essayer,s********,t* d*****,verb
to dangle,mettre en balance,m***** en b******,t* d*****,verb
to delve,approfondir,a**********,t* d****,verb
to demand,exiger,ex****,t* d*****,verb
to despise,mépriser,m*******,t* d******,verb
to detach,détacher,d*******,t* d*****,verb
to dictate,dicter,di****,t* d******,verb
to dig,creuser,c******,t* d**,verb
to disclose,divulger,d*******,t* d*******,verb
to dispel,dissiper,d*******,t* d*****,verb
to disturb,déranger,d*******,t* d******,verb
to dive,plonger,p******,t* d***,verb
