front,back,frontHint,backHint,label
Have too many irons in the fire,Doing too many things at the same time,H*** t** m*** i**** i* t** f***,,idiom
he had it comming,He deserved the negative consequences that happened to him because of his own actions,h* h** i* c******,,idiom
he stood me up,He failed to show up for a planned meeting or date without any warning or explanation,h* s**** m* u*,,idiom
help yourself,"An invitation to freely take whatever you want, usually food or drink, without waiting to be served",h*** y*******,,idiom
Hit a happy medium,To find a satisfactory compromise or balance between two opposing extremes,H** a h**** m*****,,idiom
Hit the ground running,"To begin a new task or project with great energy, enthusiasm, and immediate effectiveness",H** t** g***** r******,,idiom
hit the nail on the head,To describe or identify something with perfect accuracy; to be exactly right about something,h** t** n*** o* t** h***,,idiom
Hit the sack,"To go to bed and fall asleep, usually because you are very tired",H** t** s***,,idiom
Hit their stride,"To reach the point of maximum efficiency, confidence, and peak performance",H** t**** s*****,,idiom
Hotbed of innovation,A place or environment that is especially known for producing many new ideas and creative breakthroughs,H***** o* i*********,,idiom
I lost my temper,I became extremely angry and lost control of my emotions in the moment,I l*** m* t*****,,idiom
I made up my mind,I have come to a firm decision and I am not going to change it,I m*** u* m* m***,,idiom
i'm fed up,"Feeling extremely frustrated, annoyed, or tired of dealing with a situation that has gone on too long",i** f** u*,,idiom
In nothing flat,In an extremely short amount of time; almost instantly,I* n****** f***,,idiom
In the long run,Over a long period of time; when considering the eventual outcome rather than immediate results,I* t** l*** r**,,idiom
Ins and outs,"All the specific details, complexities, and nuances of a particular subject or situation",I** a** o***,,idiom
it's a big hassle,"Something that is very inconvenient, troublesome, and requires a lot of effort to deal with",i*** a b** h*****,,idiom
It's a dog eat dog world,Very competitive,I*** a d** e** d** w****,,idiom
it's getting on my nerves,Something is increasingly irritating and annoying me to the point of frustration,i*** g***ing o* m* n*****,,idiom
it's high time,It is long overdue; something should have been done much earlier than now,i*** h*** t***,,idiom
Jump on the competition,To get the advantage over someone by starting early,J*** o* t** c******tion,,idiom
Keep (their) ear to the ground,"To pay attention to rumours, news, and industry insiders",K*** (****** e** t* t** g*****,,idiom
Keep an eye on the ball,Concentrate on what's important,K*** a* e** o* t** b***,,idiom
Keep his chin up,To remain optimistic and confident despite challenges.,K*** h** c*** u*,,idiom
Keeping his nose clean,"Staying out of trouble and avoiding any illegal, unethical, or problematic behavior",K***ing h** n*** c****,,idiom
Know something inside out,To have expert knowledge about something,K*** s*****ing i***** o**,,idiom
Know which side your bread is buttered on,Understand what is most important to you,K*** w**** s*** y*** b**** i* b******* o*,,idiom
Let's face it,To confront a problem and deal with it,L**** f*** i*,,idiom
Like a duck to water,"To learn or adapt to something very quickly and naturally, as if born to do it",L*** a d*** t* w****,,idiom
Like a sitting duck,"Being in a position where you are completely vulnerable, exposed, and defenseless against attack",L*** a s***ing d***,,idiom
Like water off a duck's back,Criticism or negative comments that have absolutely no effect on someone; easily brushed off,L*** w**** o** a d***** b***,,idiom
Made a mountain out of a molehill,"To greatly exaggerate a minor problem, making it seem much bigger and more serious than it really is",M*** a m******* o** o* a m*******,,idiom
Majoring in the minors,"Spending too much time and energy on trivial, unimportant details instead of focusing on what really matters",M****ing i* t** m*****,,idiom
Make a go of it,"To make a serious and determined attempt to succeed at something, despite the challenges",M*** a g* o* i*,,idiom
Make ends meet,To barely have enough money to cover basic living expenses; struggling financially,M*** e*** m***,,idiom
Make the best of it,To accept a bad or unfavorable situation and try to get the most positive outcome from it,M*** t** b*** o* i*,,idiom
means of tender,A formal method or instrument used to offer payment in a business or legal context,m**** o* t*****,,idiom
mess around with,"To casually play with, experiment with, or spend time on something without being serious about it",m*** a***** w***,,idiom
mind your own business,A direct way of telling someone to stop interfering in matters that do not concern them,m*** y*** o** b*******,,idiom
mumbling and fumbling,"Speaking in an unclear, incoherent way while also being physically clumsy and awkward",m****ing a** f****ing,,idiom
none the wiser,"Still lacking understanding or knowledge about something, even after an explanation or experience",n*** t** w****,,idiom
On second thought,"After thinking about it again and reconsidering, I have changed my mind",O* s***** t******,,idiom
off the books, "Financial transactions or payments made unofficially and not recorded in a company's ledger, typically to avoid taxes or legal regulations",o** t** b****,,idiom
on tap,"Readily available and accessible whenever needed, like beer from a tap ready to be served",o* t**,,idiom
On the horizon,Something that is expected to happen in the near future; approaching but not yet here,O* t** h******,,idiom
Once in a blue moon,"Something that happens extremely rarely, almost never",O*** i* a b*** m***,,idiom
out of breath,"Breathing heavily and gasping for air, usually after physical exertion or running",o** o* b*****,,idiom
out of order,Not working or functioning properly; broken or temporarily unavailable for use,o** o* o****,,idiom
out of sorts,"Feeling slightly unwell, irritable, or not quite yourself; in a bad mood for no clear reason",o** o* s****,,idiom
pay a fine,To pay a monetary penalty as punishment for breaking a rule or committing an offense,p** a f***,,idiom
Pick her brains,"To ask someone detailed questions in order to gain their knowledge, expertise, or advice on a topic",P*** h** b*****,,idiom
Pie in the sky,"Something very hard to achieve, a dream",P** i* t** s**,,idiom
Play it safe,To avoid taking risks.,P*** i* s***,,idiom
Play things by ear,"To improvise in a situation, react to a situation as it occurs",P*** t***** b* e**,,idiom
Pull herself together,"To regain emotional composure and self-control after being upset, stressed, or overwhelmed",P*** h****** t*******,,idiom
Push his buttons,"To deliberately say or do things that annoy, irritate, or provoke someone",P*** h** b******,,idiom
Put his nose to the grindstone,To work hard and put in many hours,P** (**** n*** t* t** g*********,,idiom
Quick on the uptake,Understand very quickly,Q**** o* t** u*****,,idiom
Rags to riches,Going from poor to rich,R*** t* r*****,,idiom
rain on someone's parade,"To ruin or diminish someone's joy, excitement, or plans by being negative or creating problems",r*** o* s******** p*****,,idiom
Regain his composure,To calm down and restore emotional balance and self-control after being upset or agitated,R***** h** c********,,idiom
Reinvent the wheel,"To waste time and effort creating something that already exists, instead of using what is available",R******* t** w****,,idiom
Ride the gravy train,Make money by doing something that has already proved to be successful,R*** t** g**** t****,,idiom
roger that,A confirmation phrase meaning the message has been received and clearly understood,r**** t***,,idiom
roll up your sleeves,"To prepare yourself for hard, serious work by getting ready both mentally and physically",r*** u* y*** s******,,idiom
Rung true,"Something that seemed honest, genuine, and authentic; it felt believable and sincere",R*** t***,,idiom
running low on cash,Having very little money remaining; nearly running out of available funds,r***ing l** o* c***,,idiom
Seal the deal,"To successfully finalize and close a negotiation, agreement, or business transaction",S*** t** d***,,idiom
second to none,The absolute best; superior to everything and everyone else with no equal,s***** t* n***,,idiom
sheds light on,"Provides new information, clarity, or understanding about a topic that was previously unclear",s**** l**** o*,,idiom
Show (your) hand (to your opponents),Show others the advantages you have in a situation,S*** (***** h*** (** y*** o*********,,idiom
Show the ropes,Explain and show by example how something is done properly,S*** t** r****,,idiom
Sink or swim,Succeed or fail,S*** o* s***,,idiom
slip through the cracks,"To be overlooked, missed, or forgotten, usually due to negligence or gaps in a system",s*** t****** t** c*****,,idiom
Smart cookie,"A person who is very clever, intelligent, and quick-witted",S**** c*****,,idiom
Smoke and mirrors,A deliberate attempt to deceive or distract people from the truth using misleading tactics,S**** a** m******,,idiom
Smooth sailing,An easy life with no problems,S***** s***ing,,idiom
Spread oneself too thin,Doing too many things at once,S***** o****** t** t***,,idiom
Squeaky clean,"Completely clean, pure, and free of any faults, scandals, or wrongdoing",S****** c****,,idiom
Start from scratch,To start from the beginning,S**** f*** s******,,idiom
straddle a fence,"To avoid making a clear decision or taking a side in a dispute or controversy",s****** a f******,,idiom
Strike it rich,"To become rich, often by creating a new product or service successfully",S***** i* r***,,idiom
Stumbling blocks,A difficulty or hurdle that stands in the way of success,S*****ing b*****,,idiom
Swept it under the rug,Chose to hide a problem or mistake rather than confronting and addressing it openly,S**** i* u**** t** r**,,idiom
Switch back and forth,"To repeatedly alternate or move between two different choices, options, or states",S***** b*** a** f****,,idiom
The ball is in someone's court,It is now someone else's responsibility to take action or make a decision in the matter,T** b*** i* i* s******** c****,,idiom
The last straw,The final problem or annoyance in a series that finally causes someone to lose patience completely,T** l*** s****,,idiom
The tip of the iceberg,"Only a small, visible part of a much larger and more complex issue or problem hidden beneath",T** t** o* t** i******,,idiom
Throw cold water on them,"To discourage or dampen someone's enthusiasm, excitement, or plans with negative criticism",T**** c*** w**** o* t***,,idiom
Throw you a curve,To surprise or confuse someone with something unexpected that they were not prepared for,T**** y** a c****,,idiom
to add up,"To make logical sense when all the facts are considered / to calculate a sum total",t* a** u*,,idiom phrasal verb
to bring bad luck,"To cause misfortune or negative events to happen, often associated with superstitious beliefs",t* b*ing b** l***,,idiom
to come in handy,"To prove useful or helpful at a particular time, especially when you did not expect it",t* c*** i* h****,,idiom
to dig up,"To discover or uncover hidden information / to excavate something from the ground",t* d** u*,,idiom phrasal verb
to drill down,"To examine or investigate something in much greater detail / To bore a hole into the ground",t* d**** d***,,idiom phrasal verb
to drive hard bargains,To make a business deal that is very advantageous for you,T* d**** h*** b*******,,idiom
to fall asleep,s'endormir,s*********,t* f*** a*****,idiom
to fall short,"To fail to meet a goal, expectation, or standard; to not achieve the desired result",t* f*** s****,,idiom
to hook up,"To connect or link something together, such as electronic devices or equipment",t* h*** u*,,idiom slang
to jack up,"To raise or lift something up, often using a mechanical device / to increase a price sharply",t* j*** u*,,idiom phrasal verb
to plop down,To sit down or drop oneself into a seat heavily and without much care or grace,t* p*** d***,,idiom
to pull someone's leg,To tease or joke with someone in a playful way by telling them something untrue for fun,t* p*** s******** l**,,idiom
to screw up,To make a serious mistake or error that causes problems; to mess something up badly,t* s**** u*,,idiom phrasal verb
to water down,"To dilute or weaken something, making it less powerful, effective, or impactful than the original",t* w**** d***,,idiom phrasal verb
Tough cookie,"A person who is strong, resilient, and determined, able to handle difficult situations without breaking",T**** c*****,,idiom
Tread lightly,"To proceed with extreme caution and sensitivity, especially in a delicate or risky situation",T**** l******,,idiom
tug of war,"A competitive contest where two teams pull on opposite ends of a rope, also used figuratively for any power struggle",t** o* w**,,idiom
Turn on a dime,"To change direction, strategy, or plans very quickly and easily without any difficulty",T*** o* a d***,,idiom
Under my belt,"Experience, skills, or achievements that you have gained and can now draw upon",U**** m* b***,,idiom
weather the storm,"To survive and endure a very difficult, challenging, or turbulent period successfully",w****** t** s****,,idiom
with a fine-tooth comb,"To examine or search through something extremely carefully and thoroughly, missing no detail",w*** a f********* c***,,idiom
with flying colors,"To succeed brilliantly and impressively, achieving outstanding results with high marks",w*** f**ing c*****,,idiom
Working out for the best,End with the best possible result,W***ing o** f** t** b***,,idiom
why the long face ?,Why do you look so sad or disappointed?,w** t** l*** f*** ?,,idiom question
