front,back,frontHint,backHint,label
drain,بالُوعَة,ب**ُو*َة,d****,noun
dreadful,رهيب,ر***,dr******,adjective
dreary,كئيب,ك***,d*****,adjective
drill,مثقاب,م****,d****,noun
duct tape,شريط لاصق,ش*** ل***,d*** t***,noun
duffel bag,حقيبة تسوق,ح**** ت***,d***** b**,noun
dull,ممل,م**,d***,adjective
dwelling,مسكن,م***,dw******,noun
earrings,الأقراط,ا******,ea******,noun
ease,يُسَهّل,يُسَهّل,e***,noun
eavesdropping,التنصت,ا*****,ea***********,noun
edible,صالحة للأكل,ص**** ل****,e*****,adjective
eggplant,باذنجان,ب******,eg******,adjective
elderly,مسن,م**,el*****,adjective
enclosure,حاوية,ح****,en*******,noun
endorsement,تَأيِيد,تَأ*ِي*,en*********,noun
entrenched incumbents,أصحاب المناصب الراسخة,أ**** ا****** ا******,en******** in********,noun phrase
error-prone,عرضة للخطأ,ع*** ل****,e****-p****,adjective
eventually,وفي النهاية,و** ا******,ev********,adverb
everlasting,الأبدية,ا******,ev*********,adjective
exhausted,مرهق,م***,ex*******,adjective
fabricated,ملفقة,م****,fa********,adjective
facilities,مرافق,م****,fa********,noun
farewell,وداع,و***,fa******,noun
feedforward,com.feedforward,c**.f**********,fe*********,noun
felony,جناية,ج****,f*****,noun
fine dining,مطعم فاخر,م*** ف***,f*** d*****,noun
finicky,دقيق,د***,fi*****,adjective
firefighter,رجل الاطفاء,ر** ا******,fi*********,noun
flabbergasted,مندهش,م****,fl***********,adjective
flawless,بلا عيوب,ب** ع***,fl******,adjective
flip side,الجانب الآخر,ا***** ا****,f*** s***,noun
flood,فيضان,ف****,f****,noun
floppy disk,قرص مرن,ق** م**,f***** d***,noun
floppy ears,آذان متدلية,آ*** م*****,f***** e***,phrase
fluffy,رقيق,ر***,f*****,adjective
flush out toxins,طرد السموم,ط** ا*****,f**** o** t*****,phrase
flustered,مضطرب,م****,fl*******,adjective
foe,عدو,ع**,f**,noun
foolproof,معصوم من الخطأ,م**** م* ا****,fo*******,adjective
forbidden,مُحرَّم,مُح*َّم,fo*******,adjective
forecast,تنبؤ بالمناخ,ت*** ب******,fo******,noun
forensic science,علم الطب الشرعي,ع** ا*** ا*****,fo****** sc*****,noun
forensics,الطب الشرعي,ا*** ا*****,fo*******,noun
forgery,تزوير,ت****,fo*****,noun
frankly,بصراحة,ب*****,fr*****,adverb
freaky,مريب,م***,f*****,adjective slang
frightened,مرتعب,م****,fr********,adjective
fungus,فطر,ف**,f*****,noun
funnel,قمع,ق**,f*****,noun
fur,الفراء,ا*****,f**,noun
futile,عديم الجدوى,ع*** ا*****,f*****,adjective
gaffer,عجوز,ع***,g*****,noun
gathering,تجمع,ت***,ga*******,noun
genuine,أصيل,أ***,ge*****,adjective
genuinely,بصدق,ب***,ge*******,adverb
glitter,بريق,ب***,gl*****,noun
glow worm,دودة توهج,د*** ت***,g*** w***,noun
grape,العنب,ا****,g****,noun
grasshopper,جندب,ج***,gr*********,noun
grifter,خدعة,خ***,gr*****,noun slang
grocery,بقالة,ب****,gr*****,noun
ground truth,الحقيقة الأرضية,ا****** ا******,g***** t****,noun phrase
groundbreaking,رائد,ر***,gr************,adjective
guardrail,الدرابزين,ا********,gu*******,noun
guilty,مذنب,م***,g*****,adjective
guts,الشجاعة,ا******,g***,noun
hallmarks,السمات المميزة,ا***** ا******,ha*******,noun
hallway,المدخل,ا*****,ha*****,noun
handle,مقبض,م***,h*****,noun
handout,صدقة,ص***,ha*****,noun
handy,مفيد,م***,h****,adjective
hangover,صداع الكحول,ص*** ا*****,ha******,noun
hardened,متصلب,م****,ha******,adjective
hardly ever,نادرا,ن****,h***** e***,adverb
harmless,غير مؤذية,غ** م****,ha******,adjective
hauling,النقل,ا****,ha*****,noun
headlines,العناوين الرئيسية,ا******* ا*******,he*******,noun
headquarters,المقر الرئيسي,ا**** ا******,he**********,noun
heardresser,حلاق,ح***,he*********,noun
heist,عملية سطو,ع**** س**,h****,noun
helm chart,لوحة التحكم,ل*** ا*****,h*** c****,noun
hemorrhage,نزف,ن**,he********,noun
hemp,القنب,ا****,h***,noun
hence,لذلك,ل***,h****,adverb conjunction
herding,الرعي,ا****,he*****,noun
high-toil system,نظام عالي الكدح,ن*** ع*** ا****,h***-t*** s*****,phrase
hike,جولة على الأقدام,ج*** ع** ا******,h***,noun
hindsight,النظر إلى الماضي,ا**** إ** ا*****,hi*******,noun
hitchhiker,المسافر,ا******,hi********,noun
hive,خلية نحل,خ*** ن**,h***,noun
horns,قرون,ق***,h****,noun
hose,أنبوب,أ****,h***,noun
hotbed,بؤرة,ب***,h*****,noun
housemaid,خادمة,خ****,ho*******,noun
how long have you been a teacher ?,منذ متى وأنت مدرسا؟,م** م** و*** م****؟,h** l*** h*** y** b*** a te***** ?,question
hurdle,عقبة,ع***,h*****,noun
hush money,رشوة لإسكات المارة,ر*** ل***** ا*****,h*** m****,noun
I beg you,أرجوك,أ****,I b** y**,phrase
i didn't do it on purpose,لم أفعل ذلك عن قصد,ل* أ*** ذ** ع* ق**,i d***'t d* i* o* pu*****,phrase
i don't mind waiting,لا أمانع الانتظار,ل* أ**** ا*******,i d**'t m*** wa*****,phrase
i don't want there to be too many people tonight,لا أريد أن يكون هناك الكثير من الناس الليلة,ل* أ*** أ* ي*** ه*** ا***** م* ا**** ا*****,i d**'t w*** t**** t* b* t** m*** p***** to*****,phrase
i was walking my dog,كنت أتمشى مع كلبي,ك** أ**** م* ك***,i w** wa***** m* d**,phrase
i'm delighted to make your acquaintance,يسعدني أن أتعرف عليك,ي***** أ* أ**** ع***,i'm de******* t* m*** y*** ac**********,phrase
i'm looking forward to seeing you again,أتطلع إلى رؤيتك مرة ثانية,أ**** إ** ر**** م** ث****,i'm lo***** fo***** t* s***** y** a****,phrase
ill-humored,سيء المزاج,س** ا*****,i**-hu*****,adjective
ill-intentioned,سيء النية,س** ا****,i**-in*********,adjective
in hindsight,بعد فوات الأوان,ب** ف*** ا*****,i* hi*******,prepositional phrase
incentive,حافز,ح***,in*******,adjective
incoming,واردة,و****,in******,noun
incumbent,شاغل الوظيفة,ش*** ا******,in*******,adjective
independently,بشكل مستقل,ب*** م****,in***********,adverb
infringement,التعدي,ا*****,in**********,noun
injured,مصاب,م***,in*****,adjective
injury,إصابة,إ****,i*****,noun
ink,حبر,ح**,i**,noun
inquiry,تحقيق,ت****,in*****,noun
insight,نظرة,ن***,in*****,noun
insights,معرفة,م****,in******,noun
intended,منوي,م***,in******,adjective
intricacies,التعقيدات,ا********,in*********,noun
it was great,كانت رائعة,ك*** ر****,i* w** g****,phrase
it's freezing,إنه متجمد,إ** م****,i*'s fr******,phrase
it's time you went to bed,لقد حان الوقت للذهاب إلى السرير,ل** ح** ا**** ل***** إ** ا*****,i*'s t*** y** w*** t* b**,phrase
jar of jam,جرة مربى,ج** م***,j** o* j**,phrase
jerk,غبي,غ**,j***,noun slang
jerky,متشنج,م****,j****,adjective
jewel,جوهرة,ج****,j****,noun
junk,نفاية,ن****,j***,noun
junkyard,ساحة الخردة,س*** ا*****,ju******,noun
keystroke,ضغطة المفتاح,ض*** ا******,ke*******,noun
kidney,كلية,ك***,k*****,noun
klin,فرن,ف**,k***,noun
knees,الركبتين,ا*******,k****,noun
knob,مقبض الباب,م*** ا****,k***,noun
laggards,المتخلفون,ا********,la******,noun
lagging,متخلفة,م*****,la*****,adjective
landlord,المالك,ا*****,la******,noun
landmark,معلم,م***,la******,noun
lane,درب,د**,l***,noun
launchly point,نقطة انطلاق,ن*** ا*****,la****** p****,noun
lawn,العشب,ا****,l***,noun
layover,توقف,ت***,la*****,noun
leak,تسريب,ت****,l***,noun
leather,جلد,ج**,le*****,noun
ledger,سجل,س**,l*****,noun
leverage,الرافعة المالية,ا****** ا******,le******,noun
lid,غطاء,غ***,l**,noun
light,خفيف,خ***,l****,noun
likewise,على نفس المنوال / بطريقة مماثلة,ع** ن** ا****** / ب***** م*****,li******,adverb
limb,عضو,ع**,l***,noun
lingering,مداوم,م****,li*******,noun
list price,سعر القائمة,س** ا******,l*** p****,noun
liver,الكبد,ا****,l****,noun
lollipop,مصاصة,م****,lo******,noun
loony,مجنون,م****,l****,noun slang
loophole,ثغرة,ث***,lo******,noun
low-key,نوعاً ما / في الحقيقة,ن***ً م* / ف* ا******,l**-k**,adjective
luggage,أمتعة السفر,أ**** ا****,lu*****,noun
lumpy,محفر,م***,l****,adjective
lunchable,غداء,غ***,lu*******,adjective
lung,رئة,ر**,l***,noun
mainstay,العمود,ا*****,ma******,noun
make room,إفساح المجال,إ**** ا*****,m*** r***,noun
manor,قصر,ق**,m****,noun
marble,رخام,ر***,m*****,noun
mattress,فراش,ف***,ma******,noun
mellow,يانع,ي***,m*****,noun
mermaid,حورية البحر,ح**** ا****,me*****,noun
midday,منتصف النهار,م**** ا*****,m*****,adjective
mildly,بشكل طفيف,ب*** ط***,m*****,adverb
mind the gap,انتبه بالفجوة,ا**** ب******,m*** t** g**,phrase
misled,مضلل,م***,m*****,adjective
moans,أنين,أ***,m****,noun
mob,المافيا,ا******,m**,noun slang
mock interview,مقابلة وهمية,م***** و****,m*** in*******,noun phrase
monk,راهب,ر***,m***,noun
mop,ممسحة,م****,m**,noun
mortgage,القرض العقاري,ا**** ا******,mo******,noun
moth,عثة,ع**,m***,noun
mudslinging,التشهير,ا******,mu*********,noun
mugshot,صورة جنائية,ص*** ج*****,mu*****,noun
mulch,مهاد,م***,m****,noun
mundane,عادي,ع***,mu*****,adjective
my car broke down,تعطلت سيارتي,ت**** س*****,m* c** b**** d***,phrase
my motto in life,شعاري في الحياة,ش**** ف* ا*****,m* m**** i* l***,phrase
nail,مسمار,م****,n***,noun
nap,قيلولة,ق*****,n**,noun
narrow escape,هروب ضيق,ه*** ض**,n***** e*****,noun
nearby,قريب,ق***,n*****,adjective
neat,مرتب / أنيق,م*** / أ***,n***,adjective
necklace,قلادة,ق****,ne******,noun
neither do I,ولا أنا,و** أ**,ne***** d* I,phrase
nevertheless,مع ذلك,م* ذ**,ne**********,adverb
nimble,رشيق,ر***,n*****,adjective
no pun intended,بدون تورية مقصودة,ب*** ت**** م*****,n* p** in******,phrase
noon,ظهرا,ظ***,n***,noun
nourishing,مغذية,م****,no********,adjective
oath,قسم,ق**,o***,noun
obnoxious,بغيض,ب***,ob*******,adjective
offender,جاني,ج***,of******,noun
offloading,التفريغ,ا******,of********,noun
ointment,مرهم,م***,oi******,noun
old-fashioned,قديم,ق***,o**-fa*******,adjective
old-timey,قديم الطراز,ق*** ا*****,o**-t****,adjective
on behalf of,باسم,ب***,o* b***** o*,phrase
on foot,سيرا على الأقدام,س*** ع** ا******,o* f***,prepositional phrase
on set,موقع التصوير,م*** ا******,o* s**,prepositional phrase
on site,في الموقع,ف* ا*****,o* s***,prepositional phrase
on time,في الوقت المحدد,ف* ا**** ا*****,o* t***,prepositional phrase
oomph,جاذبية / حيوية,ج***** / ح****,o****,noun
ostrich,نعامة,ن****,os*****,noun
outage,انقطاع,ا*****,o*****,noun
outbreak,وباء ,و*** ,ou******,noun
outburst,فورة / انفجار,ف*** / ا*****,ou******,noun
outlets,منافذ / متاجر,م**** / م****,ou*****,noun
outsourcing,الاستعانة بمصادر خارجية,ا******** ب***** خ*****,ou*********,noun
outspoken,صريح,ص***,ou*******,adjective
outstanding,متميز,م****,ou*********,adjective
overblown,مبالغ فيه,م**** ف**,ov*******,adjective
overlaid,مغطى,م***,ov******,adjective
overnight,بين عشية وضحاها,ب** ع*** و*****,ov*******,adverb
oversight,الرقابة,ا******,ov*******,noun
overwhelming,ساحق,س***,ov**********,adjective
ownership,ملكية,م****,ow*******,noun
pal,صديق,ص***,p**,noun slang
paperclip,مشبك الورق,م*** ا****,pa*******,noun
parrot,ببَّغاء,ب*َّغ**,p*****,noun
passed out,مغمى عليه / فاقد الوعي,م*** ع*** / ف*** ا****,p***** o**,phrasal_verb
patent,براءة اختراع,ب**** ا*****,p*****,noun
pay,أجرة,أ***,p**,noun
paycheck,راتب,ر***,pa******,noun
pear,كُمَّثرَى / إجاص,كُمَّث*َى / إ***,p***,noun
pedestrian,مشاة,م***,pe********,noun
penny,بنس,ب**,p****,noun
pepper,الفلفل,ا*****,p*****,noun
pet,حيوان أليف,ح**** أ***,p**,noun
phishing,التصيد,ا*****,ph******,noun
phony,زائف,ز***,p****,adjective slang
pillow,وسادة,و****,p*****,noun
pineapple,أناناس,أ*****,pi*******,noun
piss me off,يغضبني,ي*****,p*** m* o**,adjective
pit,حفرة,ح***,p**,noun
plagiarism,سرقة علمية,س*** ع****,pl********,noun
pleased to meet you,ممتن لمقابلتك,م*** ل*******,pl***** t* m*** y**,phrase
plummeting,هبوط,ه***,pl********,adjective
pond,بركة,ب***,p***,noun
porch,الشرفة,ا*****,p****,noun
prawn,جمبري,ج****,p****,noun
premises,مباني,م****,pr******,noun
pretty interesting,مثيرة للاهتمام,م**** ل*******,p***** in*********,adjective phrase
pretty much,الى حد كبير,ا** ح* ك***,p***** m***,adverb
proof,دليل,د***,p****,noun
propellers,مراوح,م****,pr********,noun
pundit,الناقد,ا*****,p*****,noun
puppets,الدمى,ا****,pu*****,noun
puppy,جرو,ج**,p****,noun
purse,حقيبة,ح****,p****,noun
put on your coat,ارتدي معطفك,ا**** م****,p** o* y*** c***,phrase
queer,غريب,غ***,q****,noun
rack,رف,ر*,r***,noun
raincoat,معطف واق من المطر,م*** و** م* ا****,ra******,noun
rape,اغتصاب,ا*****,r***,noun
rarely,نادرًا,ن***ًا,r*****,adverb
real estate,العقارات,ا*******,r*** e*****,noun
realm,عالم / مملكة,ع*** / م****,r****,noun
recall,تذكير,ت****,r*****,noun
receipt,إيصال / فاتورة,إ**** / ف*****,re*****,noun
rejuvenating,مجدد,م***,re**********,adjective
relapse,انتكاس,ا*****,re*****,noun
relevant,مناسب,م****,re******,adjective
relieved,مرتاح,م****,re******,adjective
repellent,طارد,ط***,re*******,adjective
retail,بيع بالتجزئة,ب** ب*******,r*****,noun
revered,مُوقر / مبجل,مُو** / م***,re*****,adjective
riddle,لغز,ل**,r*****,noun
rigged,مزورة,م****,r*****,adjective
rigging,تزوير,ت****,ri*****,noun
right away,فورا,ف***,r**** a***,phrase
riot,أعمال شغب,أ**** ش**,r***,noun
ripple,تموج,ت***,r*****,noun
roadblock,حاجز طريق,ح*** ط***,ro*******,noun
rogue,مارقة,م****,r****,noun
rolls,لفائف,ل****,r****,noun
rope,حبل,ح**,r***,noun
rot,تعفن,ت***,r**,noun
round trip,رحلة ذهاب وإياب,ر*** ذ*** و****,r**** t***,noun
rubber,مطَّاط,م*َّا*,r*****,noun
rubber ducky,بَطَّة مَطَّاطِيَّة,بَطَّة مَطَّا*ِيَّة,r***** d****,noun
rug,بساط,ب***,r**,noun
rung,درجة,د***,r***,noun
rusty,صدئ,ص**,r****,adjective
ruthless,قاس / عديم الرحمة,ق** / ع*** ا*****,ru******,adjective
safe,خزنة,خ***,s***,noun
sailor,بحار,ب***,s*****,noun
sanity,سلامة العقل,س**** ا****,s*****,noun
scale,ميزان,م****,s****,noun
scatter,مبعثر,م****,sc*****,noun
scrap,خردة,خ***,s****,noun
scratched,مخدوشة,م*****,sc*******,adjective
screening,الفحص,ا****,sc*******,noun
screwdriver,مفك البراغي,م** ا******,sc*********,noun
screwed,انتهى أمرنا,ا**** أ****,sc*****,adjective slang
seagull,النَوْرَس,ا**َوْرَس,se*****,noun
seamless,سلس,س**,se******,adjective
seashells,الأصداف البحرية,ا****** ا******,se*******,noun
seashore,شاطئ البحر,ش*** ا****,se******,noun
seminal book,كتاب مؤسس,ك*** م***,se***** b***,noun
semolina,سميد,س***,se******,noun
shack,كوخ,ك**,s****,noun
shady,مشبوه,م****,s****,adjective
sharp blow,ضربة حادة,ض*** ح***,s**** b***,noun
she'd better hurry,من الأفضل أن تسرع,م* ا***** أ* ت***,s**'d b***** h****,phrase
shed,مستودع,م*****,s***,noun
shelter,مَأوىً,مَأ**ً,sh*****,noun
shortage,نقص,ن**,sh******,noun
shorthand,اختزال,ا*****,sh*******,noun
sifting through,التصفية,ا******,si***** th*****,phrasal_verb
sight,رؤية,ر***,s****,noun
silk,حرير,ح***,s***,noun
single-handedly,بمفرده,ب*****,s*****-ha******,adverb
sip,رشفة,ر***,s**,noun
skewed,منحرف,م****,s*****,adjective
skyscraper,ناطحة سحاب,ن**** س***,sk********,noun
slightly,قليلاً,ق****ً,sl******,adverb
slingshot,مقلاع,م****,sl*******,noun
slope,منحدر,م****,s****,noun
smooth,سلس,س**,s*****,noun
snapped up,اقتنص,ا****,sn***** u*,phrasal_verb
snapshot,لقطة سريعة,ل*** س****,sn******,noun
snobbishness,تكبر,ت***,sn**********,noun
snoring,الشخير,ا*****,sn*****,noun
soaked,مبلل,م***,s*****,adjective
soggy,رطب,ر**,s****,adjective
sore throat,التهاب الحلق,ا***** ا****,s*** t*****,noun
spare parts,قطع غيار,ق** غ***,s**** p****,noun
spare time,وقت الفراغ,و** ا*****,s**** t***,noun
sparse,متفرِّق,م***ِّق,s*****,adjective
spearhead,رائد,ر***,sp*******,noun
spit on them,يبصقون عليهم,ي***** ع****,s*** o* t***,phrase
spoofed,مزيف,م***,sp*****,noun
spoofing,انتحال,ا*****,sp******,noun
squeaky clean,نقية تماما,ن*** ت****,sq***** c****,adjective
squirrel,سنجاب,س****,sq******,noun
staging,تجهيز المسرح,ت**** ا*****,st*****,noun
stainless steel,الفولاذ المقاوم للصدأ,ا****** ا****** ل****,st******* s****,adjective phrase
stakeholders,أصحاب المصلحة,أ**** ا******,st**********,noun
stalk,ساق,س**,s****,noun
stapler,دباسة,د****,st*****,noun
stash,مخبأ,م***,s****,noun
steadily,بثبات,ب****,st******,adverb
steam,بخار,ب***,s****,noun
steepness,انحدار,ا*****,st*******,noun
steering wheel,مِقْوَد,مِقْوَد,st****** w****,noun
stench,رائحة كريهة,ر**** ك****,s*****,noun
stew,حساء,ح***,s***,noun
stiff,شديدة / قاسية,ش**** / ق****,s****,adjective
stipends,رواتب,ر****,st******,noun
stitches,غرز,غ**,st******,noun
stove,مقلاة,م****,s****,noun
stream away,يتشتت بعيدًا,ي**** ب***ًا,s***** a***,phrasal_verb
stretching,تمتد,ت***,st********,noun
stubborn,عنيد,ع***,st******,adjective
subcontracting,التعاقد من الباطن,ا****** م* ا*****,su************,noun
subordinate,تابع,ت***,su*********,noun
suburb,ضاحية,ض****,s*****,noun
summit,قمة,ق**,s*****,noun
supplier,مزود,م***,su******,noun
supply chain,سلسلة التوريد,س**** ا******,s***** c****,noun
swindler,محتال,م****,sw******,noun
tab,علامة التبويب,ع**** ا******,t**,noun
tech savvy,المهتمين بالتكنولوجيا,ا******* ب***********,t*** s****,adjective
telephone booth,كشك الهاتف,ك** ا*****,te******* b****,noun
tender,مناقصة,م*****,t*****,adjective
tense,متوتِّر,م***ِّر,t****,adjective
terse,مُقْتَضَب,مُقْتَضَب,t****,adjective
that's exactly what I needed,هذا هو بالضبط ما احتاجه,ه** ه* ب***** م* ا*****,t***'s ex***** w*** I n*****,phrase
that's not the point,هذا ليس المقصد,ه** ل** ا*****,t***'s n** t** p****,phrase
the sun rose,أشرقت الشمس,أ**** ا****,t** s** r***,phrase
there aren't enough plates,لا توجد أطباق كافية,ل* ت*** أ**** ك****,t**** a***'t e***** p*****,phrase
thick,سميك,س***,t****,adjective
thigh,فخذ,ف**,t****,noun
thirsty,عطشان,ع****,th*****,adjective
thoughtful,مدروس,م****,th********,adjective
threatening,مهدد,م***,th*********,adjective
